id,text,label
tr0055,-осиное гнездо,neutral
tr0056,"семью так просто не разрушить, а то, что ты лезешь и вплетаешь сюда многих- это сугубо твои проблемы!лицом в грязь, обидно наверное)))",negative
tr0057,полюбому неслушал так тока лайк поставил :D,neutral
tr0058,"Эта музыка для ума,для сердца и для ДУШИ,наслаждайтесь!!!!",positive
tr0059,"Губер, Эдуард Иванович -  ...  Главный труд Г. - это перевод первой части ""Фауста"", сделанный дважды: в первый раз переводчик уничтожил свой труд от огорчения, что он не был пропущен цензурой; затем, благодаря ободрению и руководству Пушкина, он исполнил его вторично; великий поэт местами редактировал перевод
(Брокгауз)

о_О и что теперь - вводить текст в собрание сочинений Пушкина? С пометой - руку приложил, но где - неясно.",negative
tr0060,"4:20 кто не спит,Саша не спит😏#вообщенесплю#я#наногах @ Памятник Н. Н. Муравьеву-Амурскому",neutral
tr0061,Если заказать киллера для самого себя - будет ли это считаться самоубийством..?,neutral
tr0062,"Вообще я человек не самый впечатлительный. То есть к разного рода убийствам и всему такому у меня довольно равнодушные отношения, жалко конечно, но чтобы какие-то еще эмоции - довольно редко.
Но этот случай буквально подкосил мою психику, я довольно красочно нарисовал себе эту картину и второй день вспоминая про это у меня по коже бегут мурашки.
Нельзя чтобы такое было возможно.",negative
tr0063,"6 марта 

Вы идеальны. И ваше сердце принадлежит одному человеку",positive
tr0064,"прости, я просто удаляю всех с семейки и буду отдавать старницу",neutral
tr0065,"Вы тут как хотите, а я полетел...",neutral
tr0066,Вот только номером дома ошибся...,neutral
tr0067,Все еще впереди,neutral
tr0068,тоже классное)),positive
tr0069,ksonline.ru/stats/-/id/1342/ Разместили мой комментарий))),neutral
tr0070,"Автозапуск с телефона. Цена модуля 4190p. Сим карта с безлимитным интернетом в комплекте. Управление с помощью программы на платформах Iphone android Windows. Прослушка салона. 
Работает как совместно с автосигнализаией, так и без нее.",neutral
tr0071,У меня новый комп! Он офигенный!!!!!))))),positive
tr0072,"- Ишь что задумали. Они думают, мы думаем что мы и, правда, думаем, что мы так думаем, а мы только думаем, что мы так думаем, я думаю…

© Спанч Боб",neutral
tr0073,Малышка Сафия🐥👑💐,positive
tr0074,"Нихуя это не прикольно, когда ты любишь молочный шоколад, а тебе дарят черный.",negative
tr0075,"блять, насть, вот как мне узнать, какие задания делать по геометрии?",negative
tr0076,переходи по ссылке и выбирай любую,neutral
tr0077,оп такой ништячек после работы :),positive
tr0078,Шарик круглый! (с),neutral
tr0079,Цыпа в Минске ),neutral
tr0080,"Кто может помочь отгадать какой это город? В слове 6 букв из этих а,м,с,й,а,о,в,а,н,ц,у,к,н,з. Помогите пожалуйста в комментариях, хочу выиграть!",neutral
tr0081,Пора украшать елку! У меня тут есть кое-что. Повесим?,neutral
tr0082,Сегодня я стала тетей!!!!,positive
tr0083,Мой Пупсик)))),positive
tr0084,мысленно был с вами :),neutral
tr0085,В центре Киева появился новый эспрессо-бар Чашка,neutral
tr0086,"Твоя подруга так много о тебе
знает, что либо ее нужно убить,
либо дружить с ней до смерти.",neutral
tr0087,Приветик!!! А я что-то редко стала заглядывать на сайт ))) Собираемся с девчонками заглянуть в караван в следующую пятницу. Вы работаете?,neutral
tr0088,Лимассольский фестиваль пива - 17 июля. История и особенности праздника в проект...,neutral
tr0089,Я очень жду от тебя Мандарины. Давай играть в Елочку вместе!,neutral
tr0090,Хочется немножко сдохнуть,negative
tr0091,Моя любимая картинка про весну.,positive
tr0092,"решил не скреплять в одну фотку, а выложить отдельными фотками ,чтобы было удобнее рассмотреть )",neutral
tr0093,акробатим на пляже,neutral
tr0094,"Весна 2005. что, шкуры, забыли уже?))а вы говорите Limp Bizkit))",neutral
tr0095,Без второй совы скучно(,negative
tr0096,вот тошо я говорил,neutral
tr0097,Искусство моей сестренки!!!,neutral
tr0098,"""Вах"" говоришь?:)))",neutral
tr0099,Здравствуйте...Я один из представителей AliExpress в России. Не желаете что нибудь заказать по более низкой цене?,neutral
tr0100,"Снежинки на ресницах застыли, а на губах ироничная улыбка... 
зима - это повод начать все с начала...",neutral
tr0101,Точно НЕ про твою кошку!,neutral
tr0102,"тебе, кроме меня, кто-то музыку кидает?)))",neutral
tr0103,Нашествие 2015!!! Было круто!!!!,positive
tr0104,"Ирвин Уэлш ""На игле"".Всем советую.Мотивирует.",positive
tr0105,..Она могла довести своими выходками до бешенства... Но в этом и была Ее своеобразная прелесть..,positive
tr0106,тебя никто не спрашивал..!!!!!*,negative
tr0107,хороший статус),positive
tr0108,я дофига стояла :D,neutral
tr0109,"Друзья мои,подскажите сериальчик посмотреть,,,,,",neutral
tr0110,Карта пополнения на 2500 руб. цена: 2250 руб.,neutral
tr0111,Няша с айфоном>,neutral
tr0112,"АААААААААА,Я КАК Я ЛЮБЛЮ ВЫХОДНЫЕ)))))))))))",positive
tr0113,"Загадка: С горы - ползком, в гору - бегом...))) ?",neutral
tr0114,Вот она - мечта поэта!,positive
tr0115,банку малинового варенья уверенно сменила банка нутеллы!,neutral
tr0116,"Приняла эстафету от Lera Strashenko
1. Выложить свою фотографию,которой нет в ВК 
2. Оповестить 10 друзей о том,что они участвуют 
3. Прикрепить любимую песню 
4. Если в течении 24 часов оповещений ,человек не передаст эстафету он выполняет желание на камеру 
Передаю: [id90088478|Лена Дунебабина] [id50064452|Паша Пархоменко] [id74600777|Вова Стасийчук] [id75715212|Галина Беляева] [id76221758|Женечка Богатова] [id96283482|Александра Гогуля] [id98031937|Виктория Высоцкая] [id98000703|Маша Высоцкая] [id154950560|Каталина-Лилиана Озадовская] [id26489689|Танюша Сикачина]",neutral
tr0117,Статус в точку! молодець Нася они такие!,positive
tr0118,Клоун Валера отшил 2 милиционеров(Смотреть всем),neutral
tr0119,"жаль,что это никто читать не будет...Эх, светлое Советское Прошлое....",negative
tr0120,"Перед отлетом в Индию делал съемку на производстве ООО ""Каскад-Металл"". 
Ребята делают огромные емкости для нефтепродуктов и всякое такое. Довольно увлекательно было полазить в их цехах, пару раз чуть шею не свернул правда.",neutral
tr0121,"21 век, какие наф кинотеатры, круто драм.театры). Первый мой в жизни спектакль) Оренбургский драмтеатр ""Бешеные деньги"" про продажных дев)! Мне понравилось на +100500)!",positive
tr0122,"#жадо намекает )))
 @ Mocsow",neutral
tr0123,"малыш, ты Нинель оповестила?))
все в предвкушении воскресенья)))",neutral
tr0124,Хорошо вышел),positive
tr0125,я сегодня добрая,positive
tr0126,"Конфетный жор.
 А конфет нет((",negative
tr0127,[id15118301|Влад Добрый] ДА ТЫ ЖЕ СПИЗДИЛ ИДЕЮ ДЛЯ АВЫ У МЕНЯ АХ ТЫ СУКА ПЛАГИАТОР ХУЕВ ТРАВЛЯ ОЛОЛО НАБИГАЕМ ПОЗОРНИК СВОЕГО ПРИДУМАТЬ НЕ СМОГ ФУ ЛАХАН!!111,negative
tr0128,"Все, меня никто не любит!",negative
tr0129,"самый божественный и неземной трек 2010!!! 
просто таю))",positive
tr0130,"Когда пьешь в компании, всегда наступает период, когда все становятся политиками, психологами, мудрыми долгожителями
______________________________________
Ну или начинают запекать друг другу лбы..Ложкой..=))))",positive
tr0131,"дашечка, нормально? ты не расстроена?",neutral
tr0132,"""То чувство, когда за последние три месяца не брал в рот ни грамма мяса...""
Да, сегодня первые 3 месяца с момента перехода на вегетарианство. Уеее!)",positive
tr0133,"Обнять того, кого действительно хочется обнять - это более, чем волшебно...",positive
tr0134,Как то так))),neutral
tr0135,пошел  дальше гулять)))),positive
tr0136,какие у счастья глаза???,neutral
tr0137,Уже совсем скоро...,neutral
tr0138,10 примеров неудачных логотипов,neutral
tr0139,Ебаные МТС И Билайн!,negative
tr0140,Да пошли вы. :с,negative
tr0141,вот так станцуем на 25 мая))))),neutral
tr0142,скоро так и будит),neutral
tr0143,"ходил встречать рассвет -   холодно, одевайте шапки )",neutral
tr0144,"Солнце,вспомни прошлое ))))))))))))*** Домашние караоке жжет =)",positive
tr0145,Всем сердцем с родителями Сережи. Дай Бог вам сил пережить эту ужасную трагедию. Не-вы-но-си-мо жаль ...,negative
tr0146,Эта прелесть приедет ко мне уже на следующей неделе!!!,positive
tr0147,И еще один шедевр для меня от Ирочки!!!))),positive
tr0148,"Съемка одежды для классного дизайнера Елены Скромной 
Модель Ксения Усик",neutral
tr0149,"Одна из песен, которую мы исполнили вчера на радио вживую. Для тех, кто сладко спал",neutral
tr0150,"♡ уймись детка,я тебя уже любила♡",positive
tr0151,в среду поедем кататься?,neutral
tr0152,пары прошли нормально,neutral
tr0153,Операция Уран. Алабино. 23.11.2013 г.,neutral
tr0154,ДИМАС- ЭТО СЕДЬМОЙ КЛАСС,neutral
tr0155,"Привет, Серег! Вы хоть знаете. что у нас новый министр обороны?! Сердюкова сняли, теперь Шойгу.................))))",neutral
tr0156,"Мне повезло, что ты есть у меня 👭",positive
tr0157,"Разрушения от урагана ""Сэнди"" в Нью-Йорке (ВИДЕО)",neutral
tr0158,Ни чо так!,positive
tr0159,"Трендовые Цвета весна-лето 2016, Pantone.
Сохраните себе, чтобы не забыть! Будьте всегда в тренде😊 А лучше звоните и приходите на встречу - расскажите о какой свадьбе мечтаете и мы вместе придумаем, как воплотить вашу мечту и сделать ее лучшей свадьбой 2016 года!",neutral
tr0160,"Лучшая подруга - не та которая говорит: ″Найдешь лучше него″,а та что звонит ему и говорит: ″Лучше нее ты не найдешь!″",positive
tr0161,Настоящее счастье - это когда в твоей жизни есть большой и маленький мальчик...,positive
tr0162,"Все самое интересное тут, заходи не пожалеешь",neutral
tr0163,Я чувствую спящий,neutral
tr0164,Збс сьездили),positive
tr0165,Просто ДТ-75.,neutral
tr0166,я домой!!!,positive
tr0167,Я приехала!!!,positive
tr0168,"Волосатый квест пройден, завтра операция. Всех желающих навестить жду по адресу ул. академика Байкова, 8 со вторника по четверг с 17.00-21.00. Звоните, встречу!",neutral
tr0169,что делать если ты в пустыне один с верблюдом,neutral
tr0170,"Иван Иванов 
Анафема.Хроника государственного переворота
(записки разведчика)",neutral
tr0171,Ты на третей фотке !!!!,neutral
tr0172,Вот где начало передовых технологий.,neutral
tr0173,"если эта запись наберет хотя бы один лайк, то Я раскурю кальян",neutral
tr0174,"Парни часто упускают достойное, подбирая доступное♥",negative
tr0175,"Мир невесомых слов, очень глупых людей.",negative
tr0176,АНСАМБЛЬ ХРИСТА СПАСИТЕЛЯ И МАТЬ СЫРА ЗЕМЛЯ   Наши иконы rip,neutral
tr0177,"злая вредная и противная!!!!ТЫ!!!
P.S.я у тебя дома телефон забыла!!!",neutral
tr0178,ничего личного),neutral
tr0179,"На фоне участившихся в России дел по оскорблениям чувств верующих атеисты решили собрать подписи за закон о защите чувств неверующих. Неверующие тоже способны оскорбляться, да еще как...",neutral
tr0180,"Горжусь своим отцом-Победителем!!!

Информация получена из сайта ""Подвиг народа"". Низкий поклон его создателям. Очень прост и удобен в обращении. Ищите здесь информацию о своих родственниках. Моя семья была в слезах после такой приятной находки.",positive
tr0181,Рода войск РФ,neutral
tr0182,Думали мы...,neutral
tr0183,Сижу. Жду.,neutral
tr0184,"Очевидно, что это невероятно! СамЭц!",positive
tr0185,"ваааау, сегодняшняя треня была огонь просто, спасибо Александру Поданеву за новую инфармацию, многому научили:) 
Лав лав лав Impact ❤
Вы самые лучшие:* [id158430715|Аня Ульянова]",positive
tr0186,Залезть в ванную после трудового дня - опять таки восхитительно)),positive
tr0187,"Саша, я тебя люблю",positive
tr0188,Шото я сеня в солярии подгорел=))),negative
tr0189,есть подруга),neutral
tr0190,"Летуцие мыши, может сказать ему об этих тварях? Нееет,не стоит.....скоро он и сам их увидит (с)",neutral
tr0191,Петразаводск. ),neutral
tr0192,"хочу себе такую, что бы не искать другую!!!!",positive
tr0193,Разве Римские Папы могут отрекаться от своего престола? Неужели подобное возможно в католичестве? Я сильно удивлен.,neutral
tr0194,"Ни один человек не заслуживает твоих слез, а те, кто заслуживают, не заставят тебя плакать.",neutral
tr0195,"Рада отменила скандальные законы ""16 января""",neutral
tr0196,я тоже так хочу...),positive
tr0197,С тобой не соскучишься  =P,positive
tr0198,офигеть какие люди!!!!,positive
tr0199,мне не нужны ваши хуевые советики. просто поддакивайте,negative
tr0200,Уиии ))) начали получаться розочки!!! Всего раз 50 повторить и вуаля.,positive
tr0201,!!!добавь меня в лучшие друзья^^,neutral
tr0202,"никого не напоминает?))))))))

Порой, у самых веселых людей, самая грустная душа.",neutral
tr0203,"Вам отправлен плейкаст!
 Кликни на ссылку под картинкой, чтобы посмотреть полную версию.",neutral
tr0204,мотай на ус),neutral
tr0205,"Ирины, вот как-то так))",neutral
tr0206,"Третий день закончился с двумя бронзами, друзья =) Русский китаец взял одну на своих коньках, а вторую вот только что забрал себе некто Александр Смышляев, представляющий довольно зрелищный вид спорта - могул =) Шипулин к сожалению гонку преследования не затащил в биатлоне. А девочки в керлинге сегодня порадовали своей победой над командой Дании ;)",positive
tr0207,"Теперь я ,,Проектировщик САПР'' курсы по автокаду пройдены) лишнее образование не помешает)",positive
tr0208,Почему он Тихий если он шумит!!!,neutral
tr0209,хочешь проверить???),neutral
tr0210,Че выделываешься)))))качек)))),neutral
tr0211,А поутру они проснулись - кругом помятая трава. Тут не одна трава помята - п..здец УкрАины судьба.,negative
tr0212,Вспомни как отдыхал 😊,neutral
tr0213,Помним Любим Скорбим Братишка(,negative
tr0214,СКОЛЬКО ?,neutral
tr0215,"В преддверии окончания 3 сезона проекта ""Голос"" публикую свой прогноз по его результатам (кто какое займет место из финалистов + полуфиналисты).Лично я в победителе и участнике Евровидения-2015 от России не сомневаюсь.
1 - Александра Воробьева (команда Градского)
2 - Георгий Юфа (команда Агутина)
3 - Евгения Благова (команда Билана)
4 - Пьер Эдель (команда Пелагеи)
Кто будет в полуфинале:
Валентина Бирюкова (команда Градского)
Мариам Мерабова (команда Агутина)
Алиса Игнатьева (команда Пелагеи)
Ксана Сергиенко (команда Билана)",neutral
tr0216,"о да))) ахахахаххахаха)
Маша уже в курсе?)ахахах)",positive
tr0217,"Приму в дар, поменяю на что-нибудь или куплю маскировочную сеть.  Б/У. Интересует кусок 1 на 3 метра. Рассмотрю любые варианты.",neutral
tr0218,Деня первый!!!!!#hi5studio,positive
tr0219,Мы сделали это) теперь я Гришко)),positive
tr0220,то воопще слушаешь музыку?,neutral
tr0221,я с тобой больше пить не буду,negative
tr0222,"песня недели))хДД
прет)",positive
tr0223,куплю баксы в сургуте на 100 000 деревянных по 60,neutral
tr0224,"ДЕВОЧКИ,СОБИРАЕМ КОРОБ!!!! ФОРСЫ НАЙК!!! ВЕСНА! НЕ ЖДЕМ ПОВЫШЕНИЯ ЦЕН, ГОТОВИМСЯ К ВЕСНЕ ЗАРАНЕЕ!!!
ВНИМАНИЕ!!!! ПРЕДОПЛАТА 200 РУБ!
36/37/38/38/39/39/40/41
МАЛОМЕРЯТ НА РАЗМЕР!",neutral
tr0225,Отпустишь прошлое - получишь будущее.,neutral
tr0226,Где будет проходить ZeRutz?!! Голосуем у меня на стене!,neutral
tr0227,"Я знаю. И твой ник на ласте. Ты сейчас делаешь следующее: 1. Удивляешься, говоришь: Ой, какая крутая песня, спасибо Вась.
2. Просишь еще покидать их песенок, потому что тебе понравилось(я не кину). Договорились? Ну только чтобы это смешно было, смотри у меня.",neutral
tr0228,джон ты нам нужен,neutral
tr0229,Выставка кошек на БЕЛЭКСПА))),neutral
tr0230,помниш того старика?,neutral
tr0231,Я бы назвал это девизом Русского Рока!,neutral
tr0232,Виза открыта :) нужно отметить :),positive
tr0233,"ПРИВЕТ! ДАВАЙ ЗАЖГЕМ НА WARFACE!!!
ТАМ БЕЗПОДОБНО!!!
АЛЛИЭН. Клан АЛЕКС_МЭДЖКЛ.
 ПРИСОЕДИНЯЙСЯ!!!
wf.mail.ru",neutral
tr0234,Может я уже лягу спать?,neutral
tr0235,Практика))🏣🇺🇦,neutral
tr0236,Крестничек💪,positive
tr0237,"Счастье оно есть... Я знаю его номер, мне нравится его улыбка и я безумно скучаю по нему...",positive
tr0238,"* Мы с тобой как розы с шипами Любим телом, раним губами...*",negative
tr0239,"Noize MC- Ты не считаешь.Live At  ГлавClub ,Спб. 6.03.2010.",neutral
tr0240,таки снова в Тюмени)),neutral
tr0241,И вторая партия.,neutral
tr0242,"Весна. Я уже не грею пиво.
Весна. Скоро вырастет трава.
Весна. Вы посмотрите, как красиво.
Весна. Где моя голова?",positive
tr0243,Селфи с любимым парикмахером💇💅👯👍🏻,positive
tr0244,Что за хуйня?!,negative
tr0245,"Органики!!Уже есть расписание на  грядущий тетрик!:))
Там просто пипееец...!!!!(((((",negative
tr0246,"Я Приняла эстафету #Любимаямузыка от Марии Боярович
Если в течение 24 часов не будет ответа, официально объявляется кацапом

Суть заключается в том, что:
- Вы должны в своем посте написать эти правила.
- Каждый должен прикрепить 8 песен.
- Выберите 8 человек для дальнейшего тэга.
- Сообщите им о вашем теге.
- Вы должны опубликовать этот пост у себя на стене, а не в комменты.
1.Ольга Журович
2.Виктория Шевель
3.Алексей Бисик
4.Ника Найденова
5.Юрий Авдеев
6.София Пыж
7.Кристина Федорцова
8.Диана Шалайко",neutral
tr0247,Шикарный видос,positive
tr0248,"Viloony, я нашел звезду, похожую на тебя. А кто похож на меня? Чтобы узнать, заходи в приложение",neutral
tr0249,"Жень, крутая аваторка))) хава нагила)",positive
tr0250,Температура за бортом +3,neutral
tr0251,ждем тебя дома)))),positive
tr0252,очень страшно,negative
tr0253,"по заявкам слушателей)
 и не говори, что ты не подпеваешь!)",neutral
tr0254,Лучшие!хочу туда..,positive
tr0255,Более мотивирующей гифки я еще не видел,positive
tr0256,Кто хочет в Ялту?,neutral
tr0257,фин. (  saippuakauppias = продавец мыла - самое длинное употребительное слово-палиндром в мире,neutral
tr0258,Лайк если тоже лень идти в шк😠😵,negative
tr0259,"Я под надежной защитой, я под родным крылом! Спасибо тебе, мой хороший, за то, что ты рядом со мной!",positive
tr0260,Хоть молотком долби по моим железным нервам! ;-),neutral
tr0261,Вот еще рубенсо-палеолетический набросок:),neutral
tr0262,"УРАА!!Первый вариант Диплома написан, все отправлено..))",positive
tr0263,"если у вас спросят, за что можно не уважать некоторых тех, кто называет себя журналистом, то просто дайте ссылку на вот эту кучу навоза",negative
tr0264,Я тебя люблю:* сегодня уже 4 месяца... Ты самая-самая:**,positive
tr0265,"А вот и ""временное правительство"" собралось. Прямо по сценарию из моей прошлой ссылки:
""Во всех ""цветных"" переворотах требования новых выборов или пересчета голосов плавно перерастали - независимо от действия властей - в ультимативные требования смены режима.""",neutral
tr0266,чтобы каждая нормальная  женщина смогла найти своего самого лучшего мужикаааааааааа!!!!!!!!!!:),positive
tr0267,"я люблю, я вернусь)))",positive
tr0268,"23 мая Вадима из Тамбова перевели в другую часть, в г. Хабаровск",neutral
tr0269,"Рифму к слову ""аромат"" - срочно, пожалуйста!!!",neutral
tr0270,"Прости меня солнце...что то как то вообще я ахамела, ВК не захожу...звонить не звоню......Позор мне!!(",negative
tr0271,"Екатерина Радионова Меняю статусы, как трусы ... Обновлено 16 дней назад",neutral
tr0272,"Чего ты так рано проснулся, в школу надо?",neutral
tr0273,А на сколько выглядишь ты?) -,neutral
tr0274,Backstage - фотограф Евгений Чернецкий,neutral
tr0275,Связано с любовью! ❤,positive
tr0276,"Ебать,как я люблю столовку!",positive
tr0277,наверно уж знаешь,neutral
tr0278,Исполняю желания. Я фея,positive
tr0279,Я очень жду от тебя мандарины. Давай наряжать Елочку вместе!,positive
tr0280,"Женщины, вы такие красивые все!",positive
tr0281,Ты хоть представляешь как жарко в Мурманске летом? ПЛЮС ВОСЕМЬ!))) Ну а ночью 2-3 ;) Белой ночью...),neutral
tr0282,Мы в Питере!,positive
tr0283,это индустрия!,neutral
tr0284,"Да хуй с тобой любовь моя, таких Как Ты здесь до хуя, таких Как я Ты хуй найдешь, хоть Ты весь мир перевернешь...",negative
tr0285,"Анализ музыки показал, с кем я на одной волне :) Результаты на картинке. Любопытно? Запускайте: vk.com/odnavolna#?u=9696669",neutral
tr0286,дернуть бы куда из депрессии.,negative
tr0287,мне сейчас нужен кто то рядом. Но только не мама,neutral
tr0288,"Откуда же такие познания о новом директоре MMCIS? В следующий раз прежде чем выкидывать свои петиции в группе просьба к ним прикладывать факты, а не свои мнения!",negative
tr0289,все.я в печали(,negative
tr0290,"Скучала по общению с вами, котаны. Реально клево погуляли, вспомнили старое и вновь поржали над каждым словом друг друга) Очень не хватает вас, если честно.. И как-то даже грустно.. У всех другое настоящее, но приятно, что мы все-таки не чужие =) Всем безудержного лета.",positive
tr0291,"Народный губернатор Донецка . Подумаешь, грехи молодости...",neutral
tr0292,"Пока умная и добрая машина Гугл аккуратно подсовывает мне в контекстной рекламе ""Досуг для пожилых людей"", умные и добрые люди кидают мне ссылки на мои старые художества, которые теперь появляются в гигантском и унылом паблике. Мне нужно, наверное, вспомнить о чем-то важном, а о чем-то важном забыть ко всем милосердным хуям. 

""Центр ""Перспектива"" приглашает пенсионеров на бесплатные занятия"". 

Спасибо, Гугл.",neutral
tr0293,"Не знаю, есть ли у тебя такая+)",neutral
tr0294,"Вторжение инопланетного звука на нашу планету =) 
Аеееее !!!!!",positive
tr0295,1 поцелуй )),neutral
tr0296,"Голосуйте за Спепку)))Все вместе подержым его)))


.

.

Ссылка cat.nashe.ua",neutral
tr0297,"Вот этого я не ожидал... ну, что можно сказать - выродок...
В интервью каналу CNN бывший премьер-министр России Михаил Касьянов заявил, что именно действия российского правительства и Владимира Путина привели к такой ситуации на Восточной Украине, при которой был сбит малайзийский Boeing. При этом он не верит в то, что самолет был сбит преднамеренно.",negative
tr0298,Сегодня снимаем 7й эпизод #внатураху_по_Ричу,neutral
tr0299,"Убью тебя!!когда то)))) 
и люблю конечно ж Пашкульская моя любимая внуця..))",positive
tr0300,"Вот такие они ?? - Сим-карты мобильного оператора «Феникс»
появятся в продаже в конце этой недели..",neutral
tr0301,Я состою в этих 10% 😏,neutral
tr0302,"💋Модель 740 с мл💋
👏285 грн 👏
❤ЛИДЕР ПРОДАЖ!❤",neutral
tr0303,Это очень мило :),positive
tr0304,"Пожалуйста, поделитесь любимой музыкой!",neutral
tr0305,"Единственным верным другом остается тот, кто знает о тебе все плохое, но все таки уважает тебя.",positive
tr0306,Всем весны),positive
tr0307,"Уоо, какая чудесная фотография )",positive
tr0308,"""Ноооооооооовый год к нам мчитсяааааа!Скороооооооооо все случитсяааааааааа!!!""",positive
tr0309,Родной мой ))**,positive
tr0310,Неотразимоя ღ,positive
tr0311,Я в восторге просто)),positive
tr0312,Ебать как я люблю играть в WOW,positive
tr0313,"Так и быть, я готов сыграть следующего Джеймса Бонда",neutral
tr0314,Тяжело будет жирдяю Просвирнину в тюрьме,negative
tr0315,"Последний звонок 2013... (Слова, музыка, исполнение на фортепиано и зачитка : Макс Чувашев) Как будто это было вчера...",neutral
tr0316,"Какая чудесная погода, чтоб начать писать курсач :3",positive
