id,phenomenon,text,label,note
s073,quote,"На маркетплейсе рейтинг 4.9, в отзывах качество супер, всем советую. Пришла тряпка с торчащими нитками",negative,"позитивные отзывы других, автор недоволен товаром"
s074,quote,"Брат вчера сказал, что новый сезон сериала провал и он бросил на второй серии. Я пока не смотрел",neutral,пересказ чужого мнения без своей оценки
s075,quote,"Говорят, что в новой столовой на третьем этаже вкусно и недорого. Кто был, правда?",neutral,автор пересказывает слух и уточняет
s076,quote,"Министр заявил, что реформа экзаменов станет огромным успехом и снизит нагрузку на школьников",neutral,нейтральный пересказ чужого заявления
s077,quote,"Соседка рассказывает, что управляющая компания ужасная и ничего не делает, собирает подписи. Собрание в пятницу в 19:00",neutral,пересказ чужой оценки и объявление
s078,quote,"Мой друг уверен, что наши в этом сезоне возьмут чемпионство, а отец говорит, что вылетят из тройки. Посмотрим",neutral,"два чужих мнения, автор не встает ни на чью сторону"
s079,quote,"Прочитал, что критики назвали новый альбом группы гениальным и лучшим в карьере. Релиз в пятницу",neutral,информация о чужих отзывах без своей позиции
s080,quote,"Коллега сказала, что в Турции сейчас отвратительная погода и отели пустые. Мы летим туда в октябре, так что узнаем",neutral,автор пересказывает и откладывает оценку
s081,mixed,"Квартира маленькая, окна на трассу и соседи шумные, но район зеленый, до работы 10 минут и хозяйка золото. В целом довольна, остаемся",positive,"минусы есть, но итог автора положительный"
s082,mixed,"Поход вышел тяжелым: промокли, комары сожрали, ногу натер. Но это были лучшие выходные за лето, поеду еще",positive,трудности не перевесили удовольствие
s083,mixed,"Очередь на вход почти час, билеты дорогие, в залах душно. Но экспозиция стоит всех мучений, обязательно вернусь",positive,итоговая оценка музея положительная
s084,mixed,"Курсы английского недешевые и домашки завал, зато за полгода реально заговорил. Не жалею",positive,результат перевешивает минусы
s085,mixed,"Телефон тяжелый, зарядку в комплект не положили, ночью камера так себе. Но батарея держит два дня и все летает, я доволен",positive,явный вывод автора положительный
s086,mixed,"На свадьбе у сестры ведущий был занудный, торт уронили, дождь лил весь день. И все равно было очень душевно, до сих пор улыбаюсь",positive,"неприятности есть, но общее впечатление теплое"
s087,mixed,"Первая неделя на новой работе: устаю жутко, офис далеко, кофемашина сломана. Но команда классная и задачи интересные, кажется, я на своем месте",positive,"минусы бытовые, итог положительный"
s088,mixed,"Интерьер красивый, музыка приятная, официанты вежливые. Но еда пересоленная и холодная, а счет космический. Больше не придем",negative,"плюсы второстепенны, вывод отрицательный"
s089,mixed,"Актеры отличные, картинка красивая, саундтрек топ. Только сюжета нет вообще и концовку слили. Жаль потраченного вечера",negative,"много похвал, но итог разочарование"
s090,mixed,"Отель новый, чистый, с бассейном, персонал милый. Но за стенкой стройка с 7 утра, выспаться не удалось ни разу, отпуск испорчен",negative,главный минус испортил отдых
s091,mixed,"Тренер знающий и зал рядом с домом, но раздевалки грязные, душ холодный, половина тренажеров сломана. Абонемент продлевать не буду",negative,вывод автора отрицательный
s092,mixed,"Преподаватель интересно рассказывает и шутит, но на экзамене валит всех подряд без объяснений. Не советую записываться на его курс",negative,итоговая рекомендация отрицательная
s093,mixed,"Новый автобусный маршрут едет быстрее, но ходит реже, раз в 20 минут. Пока не понял, стало лучше или хуже",neutral,автор уравновешивает плюсы и минусы без вывода
s094,mixed,"Переехали из Питера в Краснодар: теплее и дешевле, но друзей рядом нет и работы меньше. Плюсы и минусы примерно на равных",neutral,автор прямо говорит о равновесии
s095,mixed,"Книга написана красиво, но затянута. Где-то читал взахлеб, где-то зевал. Даже не знаю, что о ней сказать",neutral,смешанные впечатления без итоговой оценки
s096,mixed,"Новая форма у сборной: цвет отличный, а крой ужасный. Так на так",neutral,плюс и минус уравновешены
s097,mixed,"Удаленка: не надо ездить в офис, но и с коллегами почти не общаюсь. У каждого варианта свои плюсы и минусы",neutral,автор не отдает предпочтения
s098,mixed,"Дочка в новом садике: воспитатели внимательные, но кормят так себе. Посмотрим, как дальше пойдет",neutral,"вывод отложен, оценки нет"
s099,mixed,"Обновили приложение банка: переводы стали быстрее, зато историю операций спрятали непонятно куда. Что-то улучшили, что-то испортили, по сумме то же самое",neutral,автор считает изменения равными
s100,mixed,"Погода в Сочи на неделе: днем солнце и +25, но море холодное, а по вечерам ливни. Кто собирается, учитывайте",neutral,информационная сводка с плюсами и минусами
