category,mode,id,split,type,question,gold_answer,gold_evidence,bm25_top5,full_answer,full_evidence,bm25_answer,bm25_evidence,context
retrieval,bm25,q012,train,адрес,Какой адрес у технопарка «Ясный полдень»?,"улица Озерная, 72",[8],"[1, 16, 21, 20, 10]","улица Озерная, дом 72",[8],,[],"[8] Сейчас технопарк «Ясный полдень» располагается на улице Озерной, дом 72. Здание не раз ремонтировали, но фасад сохранил исторический облик."
answerable,bm25,q012,train,адрес,Какой адрес у технопарка «Ясный полдень»?,"улица Озерная, 72",[8],"[1, 16, 21, 20, 10]","улица Озерная, дом 72",[8],,[],"[8] Сейчас технопарк «Ясный полдень» располагается на улице Озерной, дом 72. Здание не раз ремонтировали, но фасад сохранил исторический облик."
llm,full,q015,train,руководитель в году,Кто занимал пост директора ботанического сада «Ветер перемен» в 1996 году?,Роман Тарасов,[8],"[4, 8, 13, 27, 23]",,[],,[],[8] В 1985 году директором ботанического сада «Ветер перемен» был назначен Роман Тарасов; он оставался на этом посту до 2006 года.
answerable,full,q015,train,руководитель в году,Кто занимал пост директора ботанического сада «Ветер перемен» в 1996 году?,Роман Тарасов,[8],"[4, 8, 13, 27, 23]",,[],,[],[8] В 1985 году директором ботанического сада «Ветер перемен» был назначен Роман Тарасов; он оставался на этом посту до 2006 года.
llm,bm25,q015,train,руководитель в году,Кто занимал пост директора ботанического сада «Ветер перемен» в 1996 году?,Роман Тарасов,[8],"[4, 8, 13, 27, 23]",,[],,[],[8] В 1985 году директором ботанического сада «Ветер перемен» был назначен Роман Тарасов; он оставался на этом посту до 2006 года.
answerable,bm25,q015,train,руководитель в году,Кто занимал пост директора ботанического сада «Ветер перемен» в 1996 году?,Роман Тарасов,[8],"[4, 8, 13, 27, 23]",,[],,[],[8] В 1985 году директором ботанического сада «Ветер перемен» был назначен Роман Тарасов; он оставался на этом посту до 2006 года.
retrieval,bm25,q020,train,старый адрес,"Где располагалось издательство «Синяя гора» раньше, до смены здания?",улица Северная,[8],"[6, 7, 4, 3, 1]",улица Северная,"[8, 10]",Светлоярск,"[3, 7]",[8] В 1993 году издательство «Синяя гора» переехало с улицы Северной на улицу Каменную.
retrieval,bm25,q024,test,руководитель в году,Кто занимал пост директора обсерватории «Медный всадник» в 1959 году?,Игорь Белов,[3],"[2, 6, 28, 31, 33]",,[],,[],[3] С 1953 по 1981 год обсерваторией «Медный всадник» руководил Игорь Белов. Филиалы регулярно обмениваются опытом и проводят совместные семинары.
llm,full,q024,test,руководитель в году,Кто занимал пост директора обсерватории «Медный всадник» в 1959 году?,Игорь Белов,[3],"[2, 6, 28, 31, 33]",,[],,[],[3] С 1953 по 1981 год обсерваторией «Медный всадник» руководил Игорь Белов. Филиалы регулярно обмениваются опытом и проводят совместные семинары.
answerable,full,q024,test,руководитель в году,Кто занимал пост директора обсерватории «Медный всадник» в 1959 году?,Игорь Белов,[3],"[2, 6, 28, 31, 33]",,[],,[],[3] С 1953 по 1981 год обсерваторией «Медный всадник» руководил Игорь Белов. Филиалы регулярно обмениваются опытом и проводят совместные семинары.
answerable,bm25,q024,test,руководитель в году,Кто занимал пост директора обсерватории «Медный всадник» в 1959 году?,Игорь Белов,[3],"[2, 6, 28, 31, 33]",,[],,[],[3] С 1953 по 1981 год обсерваторией «Медный всадник» руководил Игорь Белов. Филиалы регулярно обмениваются опытом и проводят совместные семинары.
llm,full,q041,test,руководитель в году,Кто руководил театром «Каменный цветок» в 1961 году?,Полина Абрамова,[8],"[7, 30, 8, 24, 29]",,[],,[],[8] С 1951 по 1963 год театром «Каменный цветок» руководила Полина Абрамова. Руководство поддерживает связи с коллегами из других регионов.
answerable,full,q041,test,руководитель в году,Кто руководил театром «Каменный цветок» в 1961 году?,Полина Абрамова,[8],"[7, 30, 8, 24, 29]",,[],,[],[8] С 1951 по 1963 год театром «Каменный цветок» руководила Полина Абрамова. Руководство поддерживает связи с коллегами из других регионов.
llm,bm25,q041,test,руководитель в году,Кто руководил театром «Каменный цветок» в 1961 году?,Полина Абрамова,[8],"[7, 30, 8, 24, 29]",,[],,[],[8] С 1951 по 1963 год театром «Каменный цветок» руководила Полина Абрамова. Руководство поддерживает связи с коллегами из других регионов.
answerable,bm25,q041,test,руководитель в году,Кто руководил театром «Каменный цветок» в 1961 году?,Полина Абрамова,[8],"[7, 30, 8, 24, 29]",,[],,[],[8] С 1951 по 1963 год театром «Каменный цветок» руководила Полина Абрамова. Руководство поддерживает связи с коллегами из других регионов.
retrieval,bm25,q042,train,руководитель в году,Кто руководил обсерваторией «Звездный путь» в 2010 году?,Роман Федотов,[9],"[29, 18, 32, 3, 40]",,[],,[],[9] Роман Федотов возглавлял обсерваторию с 1995 по 2012 год.
llm,full,q042,train,руководитель в году,Кто руководил обсерваторией «Звездный путь» в 2010 году?,Роман Федотов,[9],"[29, 18, 32, 3, 40]",,[],,[],[9] Роман Федотов возглавлял обсерваторию с 1995 по 2012 год.
answerable,full,q042,train,руководитель в году,Кто руководил обсерваторией «Звездный путь» в 2010 году?,Роман Федотов,[9],"[29, 18, 32, 3, 40]",,[],,[],[9] Роман Федотов возглавлял обсерваторию с 1995 по 2012 год.
answerable,bm25,q042,train,руководитель в году,Кто руководил обсерваторией «Звездный путь» в 2010 году?,Роман Федотов,[9],"[29, 18, 32, 3, 40]",,[],,[],[9] Роман Федотов возглавлял обсерваторию с 1995 по 2012 год.
llm,full,q045,test,руководитель в год события,"Кто руководил колледжем «Старая мельница», когда он получил премию «Жемчужная раковина»?",Олег Воронин,"[4, 45]","[45, 4, 3, 1, 42]",,[],,[],"[4] В 1956 году директором колледжа «Старая мельница» был назначен Олег Воронин; он оставался на этом посту до 2016 года. | [45] В 1971 году колледж «Старая мельница» получил премию «Жемчужная раковина». Здание не раз ремонтировали, но фасад сохранил исторический облик."
answerable,full,q045,test,руководитель в год события,"Кто руководил колледжем «Старая мельница», когда он получил премию «Жемчужная раковина»?",Олег Воронин,"[4, 45]","[45, 4, 3, 1, 42]",,[],,[],"[4] В 1956 году директором колледжа «Старая мельница» был назначен Олег Воронин; он оставался на этом посту до 2016 года. | [45] В 1971 году колледж «Старая мельница» получил премию «Жемчужная раковина». Здание не раз ремонтировали, но фасад сохранил исторический облик."
llm,bm25,q045,test,руководитель в год события,"Кто руководил колледжем «Старая мельница», когда он получил премию «Жемчужная раковина»?",Олег Воронин,"[4, 45]","[45, 4, 3, 1, 42]",,[],,[],"[4] В 1956 году директором колледжа «Старая мельница» был назначен Олег Воронин; он оставался на этом посту до 2016 года. | [45] В 1971 году колледж «Старая мельница» получил премию «Жемчужная раковина». Здание не раз ремонтировали, но фасад сохранил исторический облик."
answerable,bm25,q045,test,руководитель в год события,"Кто руководил колледжем «Старая мельница», когда он получил премию «Жемчужная раковина»?",Олег Воронин,"[4, 45]","[45, 4, 3, 1, 42]",,[],,[],"[4] В 1956 году директором колледжа «Старая мельница» был назначен Олег Воронин; он оставался на этом посту до 2016 года. | [45] В 1971 году колледж «Старая мельница» получил премию «Жемчужная раковина». Здание не раз ремонтировали, но фасад сохранил исторический облик."
llm,full,q047,train,город филиала по руководителю,"В каком городе работает филиал технопарка «Ясный полдень», которым руководит Евгений Жуков?",Липоборск,"[20, 21]","[21, 20, 16, 15, 18]",Туманоярск,"[18, 21]",Липоборск,[21],[20] Лесной филиал технопарка «Ясный полдень» открылся в 2007 году в Липоборске. За годы работы технопарк «Ясный полдень» стал заметной частью жизни Тихоборска. | [21] Евгений Жуков руководит лесным филиалом технопарка «Ясный полдень».
retrieval,bm25,q048,test,основатель,Кто считается основателем института «Горный хрусталь»?,Григорий Горбунов,[2],"[1, 28, 11, 15, 9]",Григорий Горбунов,[2],,[],"[2] История института «Горный хрусталь» началась в 1903 году, когда Григорий Горбунов открыл институт в Соколоярске."
answerable,bm25,q048,test,основатель,Кто считается основателем института «Горный хрусталь»?,Григорий Горбунов,[2],"[1, 28, 11, 15, 9]",Григорий Горбунов,[2],,[],"[2] История института «Горный хрусталь» началась в 1903 году, когда Григорий Горбунов открыл институт в Соколоярске."
retrieval,bm25,q050,test,руководитель в год события,"Кто руководил конструкторским бюро «Лесная сказка», когда началась реконструкция здания?",Вера Громова,"[3, 11]","[22, 24, 5, 25, 1]",,[],,[],"[3] Вера Громова возглавляла конструкторское бюро с 1945 по 1959 год. | [11] Капитальный ремонт конструкторского бюро «Лесная сказка» начался в 1958 году, его стоимость составила 178 млн рублей."
llm,full,q050,test,руководитель в год события,"Кто руководил конструкторским бюро «Лесная сказка», когда началась реконструкция здания?",Вера Громова,"[3, 11]","[22, 24, 5, 25, 1]",,[],,[],"[3] Вера Громова возглавляла конструкторское бюро с 1945 по 1959 год. | [11] Капитальный ремонт конструкторского бюро «Лесная сказка» начался в 1958 году, его стоимость составила 178 млн рублей."
answerable,full,q050,test,руководитель в год события,"Кто руководил конструкторским бюро «Лесная сказка», когда началась реконструкция здания?",Вера Громова,"[3, 11]","[22, 24, 5, 25, 1]",,[],,[],"[3] Вера Громова возглавляла конструкторское бюро с 1945 по 1959 год. | [11] Капитальный ремонт конструкторского бюро «Лесная сказка» начался в 1958 году, его стоимость составила 178 млн рублей."
answerable,bm25,q050,test,руководитель в год события,"Кто руководил конструкторским бюро «Лесная сказка», когда началась реконструкция здания?",Вера Громова,"[3, 11]","[22, 24, 5, 25, 1]",,[],,[],"[3] Вера Громова возглавляла конструкторское бюро с 1945 по 1959 год. | [11] Капитальный ремонт конструкторского бюро «Лесная сказка» начался в 1958 году, его стоимость составила 178 млн рублей."
llm,full,q055,train,руководитель в год события,"Кто руководил театром «Красный мост», когда он получил премию «Серебряный якорь»?",Ирина Яковлева,"[5, 21]","[23, 21, 4, 5, 2]",,[],Ирина Яковлева,"[5, 21]",[5] С 1996 года театром «Красный мост» руководит Ирина Яковлева. До назначения она много лет работала в других организациях Ледогорска. | [21] Премия «Серебряный якорь» была присуждена театру «Красный мост» в 2009 году.
answerable,full,q055,train,руководитель в год события,"Кто руководил театром «Красный мост», когда он получил премию «Серебряный якорь»?",Ирина Яковлева,"[5, 21]","[23, 21, 4, 5, 2]",,[],Ирина Яковлева,"[5, 21]",[5] С 1996 года театром «Красный мост» руководит Ирина Яковлева. До назначения она много лет работала в других организациях Ледогорска. | [21] Премия «Серебряный якорь» была присуждена театру «Красный мост» в 2009 году.
llm,bm25,q062,train,город филиала по руководителю,"В каком городе работает филиал театра «Каменный цветок», которым руководит Андрей Ершов?",Волнорецк,"[28, 29]","[29, 24, 30, 28, 26]",Волнорецк,"[28, 29]",Ледогорск,[30],[28] Восточный филиал театра «Каменный цветок» открылся в 2017 году в Волнорецке. Сотрудники выпускают внутренний бюллетень о новостях и планах. | [29] Андрей Ершов руководит восточным филиалом театра «Каменный цветок».
llm,bm25,q064,train,город филиала по руководителю,"В каком городе работает филиал колледжа «Серебряный ручей», которым руководит Роман Уваров?",Бережанск,"[19, 20]","[20, 21, 19, 3, 6]",Бережанск,"[19, 20]",Верхнеуслон,[],[19] В 1978 году в Бережанске начал работу горный филиал колледжа «Серебряный ручей». | [20] Роман Уваров руководит горным филиалом колледжа «Серебряный ручей». Представители коллектива выступают на региональных конференциях.
answerable,bm25,q064,train,город филиала по руководителю,"В каком городе работает филиал колледжа «Серебряный ручей», которым руководит Роман Уваров?",Бережанск,"[19, 20]","[20, 21, 19, 3, 6]",Бережанск,"[19, 20]",Верхнеуслон,[],[19] В 1978 году в Бережанске начал работу горный филиал колледжа «Серебряный ручей». | [20] Роман Уваров руководит горным филиалом колледжа «Серебряный ручей». Представители коллектива выступают на региональных конференциях.
llm,full,q070,train,руководитель в году,Кто занимал пост директора технопарка «Янтарная долина» в 1963 году?,Жанна Прохорова,[7],"[7, 18, 24, 27, 22]",,[],Жанна Прохорова,[7],[7] В 1961 году директором технопарка «Янтарная долина» была назначена Жанна Прохорова; она оставалась на этом посту до 1971 года. Первые годы работы были трудными: не хватало помещений и оборудования.
answerable,full,q070,train,руководитель в году,Кто занимал пост директора технопарка «Янтарная долина» в 1963 году?,Жанна Прохорова,[7],"[7, 18, 24, 27, 22]",,[],Жанна Прохорова,[7],[7] В 1961 году директором технопарка «Янтарная долина» была назначена Жанна Прохорова; она оставалась на этом посту до 1971 года. Первые годы работы были трудными: не хватало помещений и оборудования.
llm,full,q094,test,партнер,Кто стал партнером клиники «Дальний берег» в 2004 году?,с фондом «Открытый горизонт»,[31],"[31, 23, 2, 21, 36]",,[],фонд «Открытый горизонт»,[31],[31] В 2004 году клиника «Дальний берег» подписала соглашение о сотрудничестве с фондом «Открытый горизонт». Представители коллектива выступают на региональных конференциях.
answerable,full,q094,test,партнер,Кто стал партнером клиники «Дальний берег» в 2004 году?,с фондом «Открытый горизонт»,[31],"[31, 23, 2, 21, 36]",,[],фонд «Открытый горизонт»,[31],[31] В 2004 году клиника «Дальний берег» подписала соглашение о сотрудничестве с фондом «Открытый горизонт». Представители коллектива выступают на региональных конференциях.
retrieval,bm25,q096,train,руководитель в году,Кто руководил обсерваторией «Звездный путь» в 2024 году?,Андрей Уваров,[13],"[29, 18, 32, 3, 40]",,[],,[],[13] С 2012 года обсерваторией «Звездный путь» руководит Андрей Уваров. До назначения он много лет работал в других организациях Ольхогорска. Первые годы работы были трудными: не хватало помещений и оборудования.
llm,full,q096,train,руководитель в году,Кто руководил обсерваторией «Звездный путь» в 2024 году?,Андрей Уваров,[13],"[29, 18, 32, 3, 40]",,[],,[],[13] С 2012 года обсерваторией «Звездный путь» руководит Андрей Уваров. До назначения он много лет работал в других организациях Ольхогорска. Первые годы работы были трудными: не хватало помещений и оборудования.
answerable,full,q096,train,руководитель в году,Кто руководил обсерваторией «Звездный путь» в 2024 году?,Андрей Уваров,[13],"[29, 18, 32, 3, 40]",,[],,[],[13] С 2012 года обсерваторией «Звездный путь» руководит Андрей Уваров. До назначения он много лет работал в других организациях Ольхогорска. Первые годы работы были трудными: не хватало помещений и оборудования.
answerable,bm25,q096,train,руководитель в году,Кто руководил обсерваторией «Звездный путь» в 2024 году?,Андрей Уваров,[13],"[29, 18, 32, 3, 40]",,[],,[],[13] С 2012 года обсерваторией «Звездный путь» руководит Андрей Уваров. До назначения он много лет работал в других организациях Ольхогорска. Первые годы работы были трудными: не хватало помещений и оборудования.
llm,full,q097,train,руководитель в год события,При каком директоре колледж «Старая мельница» закрыли на ремонт?,Олег Воронин,"[4, 8]","[8, 4, 6, 42, 10]",,[],,[],[4] В 1956 году директором колледжа «Старая мельница» был назначен Олег Воронин; он оставался на этом посту до 2016 года. | [8] В 1975 году здание колледжа «Старая мельница» закрыли на реконструкцию; работы обошлись в 430 млн рублей. Руководство поддерживает связи с коллегами из других регионов.
answerable,full,q097,train,руководитель в год события,При каком директоре колледж «Старая мельница» закрыли на ремонт?,Олег Воронин,"[4, 8]","[8, 4, 6, 42, 10]",,[],,[],[4] В 1956 году директором колледжа «Старая мельница» был назначен Олег Воронин; он оставался на этом посту до 2016 года. | [8] В 1975 году здание колледжа «Старая мельница» закрыли на реконструкцию; работы обошлись в 430 млн рублей. Руководство поддерживает связи с коллегами из других регионов.
llm,bm25,q097,train,руководитель в год события,При каком директоре колледж «Старая мельница» закрыли на ремонт?,Олег Воронин,"[4, 8]","[8, 4, 6, 42, 10]",,[],,[],[4] В 1956 году директором колледжа «Старая мельница» был назначен Олег Воронин; он оставался на этом посту до 2016 года. | [8] В 1975 году здание колледжа «Старая мельница» закрыли на реконструкцию; работы обошлись в 430 млн рублей. Руководство поддерживает связи с коллегами из других регионов.
answerable,bm25,q097,train,руководитель в год события,При каком директоре колледж «Старая мельница» закрыли на ремонт?,Олег Воронин,"[4, 8]","[8, 4, 6, 42, 10]",,[],,[],[4] В 1956 году директором колледжа «Старая мельница» был назначен Олег Воронин; он оставался на этом посту до 2016 года. | [8] В 1975 году здание колледжа «Старая мельница» закрыли на реконструкцию; работы обошлись в 430 млн рублей. Руководство поддерживает связи с коллегами из других регионов.
retrieval,bm25,q098,test,руководитель в год события,Кто руководил институтом «Полярная звезда» в год переезда в новое здание?,Николай Хромов,"[7, 11]","[5, 23, 14, 15, 17]",,[],,[],[7] В 1982 году директором института «Полярная звезда» был назначен Николай Хромов; он оставался на этом посту до 2017 года. Здесь бережно относятся к истории и собирают воспоминания старых сотрудников. | [11] В 2006 году институт «Полярная звезда» переехал с улицы Липовой на улицу Речную.
llm,full,q098,test,руководитель в год события,Кто руководил институтом «Полярная звезда» в год переезда в новое здание?,Николай Хромов,"[7, 11]","[5, 23, 14, 15, 17]",,[],,[],[7] В 1982 году директором института «Полярная звезда» был назначен Николай Хромов; он оставался на этом посту до 2017 года. Здесь бережно относятся к истории и собирают воспоминания старых сотрудников. | [11] В 2006 году институт «Полярная звезда» переехал с улицы Липовой на улицу Речную.
answerable,full,q098,test,руководитель в год события,Кто руководил институтом «Полярная звезда» в год переезда в новое здание?,Николай Хромов,"[7, 11]","[5, 23, 14, 15, 17]",,[],,[],[7] В 1982 году директором института «Полярная звезда» был назначен Николай Хромов; он оставался на этом посту до 2017 года. Здесь бережно относятся к истории и собирают воспоминания старых сотрудников. | [11] В 2006 году институт «Полярная звезда» переехал с улицы Липовой на улицу Речную.
answerable,bm25,q098,test,руководитель в год события,Кто руководил институтом «Полярная звезда» в год переезда в новое здание?,Николай Хромов,"[7, 11]","[5, 23, 14, 15, 17]",,[],,[],[7] В 1982 году директором института «Полярная звезда» был назначен Николай Хромов; он оставался на этом посту до 2017 года. Здесь бережно относятся к истории и собирают воспоминания старых сотрудников. | [11] В 2006 году институт «Полярная звезда» переехал с улицы Липовой на улицу Речную.
