id,doc_id,split,type,question,gold_answer,gold_evidence,gold_answerable,bm25_top5,retrieval_recall,full_answer,full_evidence,full_answerable,full_answer_ok,full_overall_ok,full_answerable_ok,full_latency_s,full_prompt_tokens,full_error,bm25_answer,bm25_evidence,bm25_answerable,bm25_answer_ok,bm25_overall_ok,bm25_answerable_ok,bm25_latency_s,bm25_prompt_tokens,bm25_error
q023,doc_08,train,бюджет в отсутствующем году,Каким был годовой бюджет лаборатории «Морской узел» в 2011 году?,,[],False,"[29, 28, 6, 7, 40]",,,[],False,False,True,True,1.681,2887,,,[],False,False,True,True,0.678,689,
q024,doc_17,test,руководитель в году,Кто занимал пост директора обсерватории «Медный всадник» в 1959 году?,Игорь Белов,[3],True,"[2, 6, 28, 31, 33]",0.0,,[],False,False,False,False,1.457,2274,,,[],False,False,False,False,0.644,663,
q025,doc_13,train,год премии,В каком году музей «Белая цапля» получил премию «Медный колокол»?,1960,[40],True,"[40, 4, 42, 1, 25]",1.0,1960,[40],True,True,True,True,1.681,2471,,1960,[40],True,True,True,True,0.809,604,
q026,doc_27,train,премия в году,Какую премию получило издательство «Синяя гора» в 2017 году?,«Жемчужная раковина»,[22],True,"[22, 9, 17, 26, 25]",1.0,премия «Жемчужная раковина»,[22],True,True,True,True,1.571,1721,,премия «Жемчужная раковина»,[22],True,True,True,True,1.089,611,
q027,doc_12,train,сотрудники в году,Сколько сотрудников работало в фабрике «Весенний сад» в 1995 году?,1849,[12],True,"[12, 29, 9, 26, 28]",1.0,1849,[12],True,True,True,True,1.434,1947,,1849,[12],True,True,True,True,0.762,675,
q028,doc_21,train,сотрудники в году,Сколько человек числилось в штате музея «Лунный свет» в 2006 году?,1144,[10],True,"[10, 8, 17, 11, 2]",1.0,1144,[12],True,True,True,True,1.163,1418,,1144,[10],True,True,True,True,0.688,596,
q029,doc_25,test,премия в году,Какую премию получил технопарк «Янтарная долина» в 1984 году?,«Стальной маятник»,[24],True,"[24, 22, 18, 27, 2]",1.0,премия «Стальной маятник»,[24],True,True,True,True,1.396,1783,,премия «Стальной маятник»,[24],True,True,True,True,0.817,613,
q030,doc_15,train,партнер,С какой организацией фабрика «Белый парус» подписала соглашение о сотрудничестве?,с компанией «Орбита-Плюс»,[19],True,"[19, 6, 18, 10, 1]",1.0,компанией «Орбита-Плюс»,[19],True,True,True,True,1.408,1547,,компанией «Орбита-Плюс»,[19],True,True,True,True,0.928,639,
q031,doc_24,train,партнер,С какой организацией ботанический сад «Ветер перемен» подписал соглашение о сотрудничестве?,с фондом «Открытый горизонт»,[35],True,"[35, 5, 12, 13, 1]",1.0,фонд «Открытый горизонт»,[35],True,True,True,True,1.673,2361,,фонд «Открытый горизонт»,[35],True,True,True,True,0.833,637,
q032,doc_17,train,город филиала,В каком городе находится северный филиал обсерватории «Медный всадник»?,Ледогорск,[26],True,"[26, 27, 19, 23, 28]",1.0,Ледогорск,"[26, 27]",True,True,True,True,1.609,2270,,Ледогорск,[26],True,True,True,True,0.73,638,
q033,doc_16,train,несуществующий филиал,Кто возглавляет северный филиал завода «Тихая гавань»?,,[],False,"[31, 33, 28, 32, 35]",,,[],False,False,True,True,1.506,2538,,,[],False,False,True,True,0.634,644,
q034,doc_03,train,сотрудники в году,Какой была численность персонала киностудии «Хрустальный родник» в 2021 году?,1732,[23],True,"[32, 2, 23, 27, 39]",1.0,1732,[23],True,True,True,True,1.712,2575,,1732,[23],True,True,True,True,0.804,651,
q035,doc_20,test,сотрудники в году,Сколько сотрудников работало в конструкторском бюро «Зеленый луч» в 2023 году?,888,[24],True,"[24, 19, 21, 48, 36]",1.0,888,[24],True,True,True,True,1.774,2833,,888,[24],True,True,True,True,0.725,647,
q036,doc_28,train,бюджет в отсутствующем году,Каким был годовой бюджет клиники «Липовый парк» в 2024 году?,,[],False,"[18, 23, 26, 31, 20]",,,[],False,False,True,True,1.192,1966,,,[],False,False,True,True,0.586,604,
q037,doc_22,train,сотрудники в году,Сколько сотрудников работало в библиотеке «Золотой колос» в 1996 году?,684,[12],True,"[12, 10, 13, 25, 22]",1.0,684,[12],True,True,True,True,1.269,1865,,684,[12],True,True,True,True,0.735,663,
q038,doc_20,test,отсутствующий показатель,Какой была посещаемость мероприятий конструкторского бюро «Зеленый луч» в 2022 году?,,[],False,"[45, 36, 32, 40, 21]",,,[],False,False,True,True,1.748,2835,,,[],False,False,True,True,0.619,645,
q039,doc_06,train,год премии,В каком году лаборатория «Огненная птица» получила премию «Бронзовая сова»?,2009,[25],True,"[25, 23, 2, 12, 7]",1.0,2009,[25],True,True,True,True,1.278,1808,,2009,[25],True,True,True,True,0.729,653,
q040,doc_02,train,город филиала по руководителю,"Где расположен филиал издательства «Южный крест», который возглавляет Игорь Абрамов?",Камышеярск,"[29, 34]",True,"[34, 29, 25, 5, 36]",1.0,Камышеярск,[34],True,True,True,True,1.742,2591,,Камышеярск,[29],True,True,True,True,0.79,600,
q041,doc_01,test,руководитель в году,Кто руководил театром «Каменный цветок» в 1961 году?,Полина Абрамова,[8],True,"[7, 30, 8, 24, 29]",1.0,,[],False,False,False,False,1.462,2447,,,[],False,False,False,False,0.584,617,
q042,doc_23,train,руководитель в году,Кто руководил обсерваторией «Звездный путь» в 2010 году?,Роман Федотов,[9],True,"[29, 18, 32, 3, 40]",0.0,,[],False,False,False,False,1.68,2895,,,[],False,False,False,False,0.758,691,
q043,doc_02,test,премия в отсутствующем году,Какую премию получило издательство «Южный крест» в 1961 году?,,[],False,"[29, 25, 16, 46, 13]",,,[],False,False,True,True,1.655,2588,,,[],False,False,True,True,0.611,600,
q044,doc_30,train,сотрудники в году,Сколько человек числилось в штате театра «Красный мост» в 1942 году?,698,[8],True,"[8, 27, 32, 19, 9]",1.0,698,[8],True,True,True,True,1.253,1764,,698,[8],True,True,True,True,0.652,590,
q045,doc_26,test,руководитель в год события,"Кто руководил колледжем «Старая мельница», когда он получил премию «Жемчужная раковина»?",Олег Воронин,"[4, 45]",True,"[45, 4, 3, 1, 42]",1.0,,[],False,False,False,False,1.649,2832,,,[],False,False,False,False,0.59,643,
q046,doc_17,train,город филиала по руководителю,"В каком городе работает филиал обсерватории «Медный всадник», которым руководит Марина Тарасова?",Ледогорск,"[26, 27]",True,"[27, 26, 19, 15, 23]",1.0,Ледогорск,[27],True,True,True,True,1.537,2276,,Ледогорск,"[26, 27]",True,True,True,True,0.83,658,
q047,doc_19,train,город филиала по руководителю,"В каком городе работает филиал технопарка «Ясный полдень», которым руководит Евгений Жуков?",Липоборск,"[20, 21]",True,"[21, 20, 16, 15, 18]",1.0,Туманоярск,"[18, 21]",True,False,False,True,1.384,1727,,Липоборск,[21],True,True,True,True,0.726,667,
q048,doc_10,test,основатель,Кто считается основателем института «Горный хрусталь»?,Григорий Горбунов,[2],True,"[1, 28, 11, 15, 9]",0.0,Григорий Горбунов,[2],True,True,True,True,1.349,1790,,,[],False,False,False,False,0.53,627,
q049,doc_01,train,город филиала по руководителю,"Где расположен филиал театра «Каменный цветок», который возглавляет Михаил Филатов?",Кедроборск,"[24, 26]",True,"[26, 31, 28, 24, 30]",1.0,Кедроборск,"[22, 26]",True,True,True,True,1.713,2454,,Кедроборск,"[24, 26]",True,True,True,True,0.853,659,
q050,doc_07,test,руководитель в год события,"Кто руководил конструкторским бюро «Лесная сказка», когда началась реконструкция здания?",Вера Громова,"[3, 11]",True,"[22, 24, 5, 25, 1]",0.0,,[],False,False,False,False,1.452,2347,,,[],False,False,False,False,0.642,620,
q051,doc_07,train,премия в отсутствующем году,Какую премию получило конструкторское бюро «Лесная сказка» в 1953 году?,,[],False,"[31, 21, 2, 17, 11]",,,[],False,False,True,True,1.561,2346,,,[],False,False,True,True,0.725,622,
q052,doc_24,train,глава филиала,Кто возглавляет речной филиал ботанического сада «Ветер перемен»?,Дмитрий Соколов,[29],True,"[29, 28, 33, 31, 13]",1.0,Дмитрий Соколов,[29],True,True,True,True,1.857,2359,,Дмитрий Соколов,[29],True,True,True,True,0.942,667,
q053,doc_04,train,год открытия филиала,В каком году открылся речной филиал института «Полярная звезда»?,1994,[23],True,"[26, 23, 13, 28, 11]",1.0,1994,[23],True,True,True,True,1.628,2157,,1994,[23],True,True,True,True,0.741,611,
q054,doc_11,train,премия в отсутствующем году,Какой наградой была отмечена киностудия «Северный маяк» в 2023 году?,,[],False,"[2, 24, 19, 21, 29]",,,[],False,False,True,True,1.193,1838,,,[],False,False,True,True,0.594,624,
q055,doc_30,train,руководитель в год события,"Кто руководил театром «Красный мост», когда он получил премию «Серебряный якорь»?",Ирина Яковлева,"[5, 21]",True,"[23, 21, 4, 5, 2]",1.0,,[],False,False,False,False,1.145,1765,,Ирина Яковлева,"[5, 21]",True,True,True,True,0.854,607,
q056,doc_20,test,год реконструкции,В каком году началась реконструкция конструкторского бюро «Зеленый луч»?,1993,[10],True,"[10, 36, 32, 40, 21]",1.0,1993,[10],True,True,True,True,1.847,2828,,1993,[10],True,True,True,True,0.759,615,
q057,doc_16,train,несуществующий филиал,Кто возглавляет филиал завода «Тихая гавань» в Зарябинске?,,[],False,"[31, 33, 28, 32, 35]",,,[],False,False,True,True,1.564,2540,,,[],False,False,True,True,0.833,646,
q058,doc_12,test,старый адрес,"Где располагалась фабрика «Весенний сад» раньше, до смены здания?",улица Заводская,[8],True,"[1, 29, 8, 28, 26]",1.0,улица Заводская,[8],True,True,True,True,1.466,1947,,улица Заводская,"[1, 8]",True,True,True,True,0.95,641,
q059,doc_10,train,сотрудники в отсутствующем году,Какой была численность персонала института «Горный хрусталь» в 1970 году?,,[],False,"[28, 11, 15, 25, 2]",,,[],False,False,True,True,1.257,1799,,,[],False,False,True,True,0.685,673,
q060,doc_28,train,руководитель до известной хронологии,Кто был директором клиники «Липовый парк» в 1945 году?,,[],False,"[8, 15, 26, 31, 20]",,,[],False,False,True,True,1.345,1965,,,[],False,False,True,True,0.635,622,
q061,doc_06,train,город филиала по руководителю,"Где расположен филиал лаборатории «Огненная птица», который возглавляет Борис Филатов?",Малиноозерск,"[19, 20]",True,"[20, 5, 17, 19, 21]",1.0,Малиноозерск,[20],True,True,True,True,1.464,1808,,Малиноозерск,"[19, 20]",True,True,True,True,0.91,665,
q062,doc_01,train,город филиала по руководителю,"В каком городе работает филиал театра «Каменный цветок», которым руководит Андрей Ершов?",Волнорецк,"[28, 29]",True,"[29, 24, 30, 28, 26]",1.0,Волнорецк,"[28, 29]",True,True,True,True,1.88,2453,,Ледогорск,[30],True,False,False,True,1.099,645,
q063,doc_06,test,несуществующий филиал,Кто возглавляет западный филиал лаборатории «Огненная птица»?,,[],False,"[20, 5, 17, 19, 21]",,,[],False,False,True,True,1.285,1802,,,[],False,False,True,True,0.757,659,
q064,doc_05,train,город филиала по руководителю,"В каком городе работает филиал колледжа «Серебряный ручей», которым руководит Роман Уваров?",Бережанск,"[19, 20]",True,"[20, 21, 19, 3, 6]",1.0,Бережанск,"[19, 20]",True,True,True,True,1.433,1623,,Верхнеуслон,[],False,False,False,False,0.779,614,
q065,doc_13,test,старый адрес,На какой улице находился музей «Белая цапля» до переезда?,улица Лесная,[10],True,"[10, 7, 1, 23, 4]",1.0,Лесной,"[10, 33]",True,True,True,True,1.812,2466,,Лесной,[10],True,True,True,True,0.731,590,
q066,doc_09,train,партнер,Кто стал партнером ботанического сада «Голубая лагуна» в 2024 году?,с фондом «Открытый горизонт»,[39],True,"[39, 25, 29, 28, 22]",1.0,фонд «Открытый горизонт»,[39],True,True,True,True,2.044,2741,,фонд «Открытый горизонт»,[39],True,True,True,True,0.976,689,
q067,doc_16,test,премия в отсутствующем году,Какой наградой был отмечен завод «Тихая гавань» в 1975 году?,,[],False,"[32, 2, 39, 28, 14]",,,[],False,False,True,True,0.505,2541,,,[],False,False,True,True,0.682,684,
q068,doc_14,test,год открытия филиала,В каком году открылся лесной филиал завода «Северное сияние»?,1995,[32],True,"[30, 32, 35, 34, 29]",1.0,1995,[32],True,True,True,True,1.67,2278,,1995,[32],True,True,True,True,0.818,588,
q069,doc_09,train,сотрудники в отсутствующем году,Какой была численность персонала ботанического сада «Голубая лагуна» в 2015 году?,,[],False,"[38, 25, 29, 28, 2]",,,[],False,False,True,True,1.748,2746,,,[],False,False,True,True,0.722,720,
q070,doc_25,train,руководитель в году,Кто занимал пост директора технопарка «Янтарная долина» в 1963 году?,Жанна Прохорова,[7],True,"[7, 18, 24, 27, 22]",1.0,,[],False,False,False,False,0.561,1786,,Жанна Прохорова,[7],True,True,True,True,0.834,644,
q071,doc_28,test,бюджет в году,Каким был годовой бюджет клиники «Липовый парк» в 2008 году?,278 млн рублей,[18],True,"[18, 23, 26, 31, 20]",1.0,278 млн рублей,[18],True,True,True,True,1.493,1966,,278 млн рублей,[18],True,True,True,True,0.812,604,
q072,doc_15,train,отсутствующее событие,В каком году здание фабрики «Белый парус» закрывали на капитальный ремонт?,,[],False,"[7, 2, 12, 16, 20]",,,[],False,False,True,True,1.086,1546,,,[],False,False,True,True,0.644,644,
q073,doc_23,test,год премии,В каком году обсерватория «Звездный путь» получила премию «Изумрудный лист»?,2022,[40],True,"[40, 3, 42, 26, 29]",1.0,2022,[40],True,True,True,True,1.921,2901,,2022,[40],True,True,True,True,0.819,683,
q074,doc_26,train,руководитель до известной хронологии,Кто был директором колледжа «Старая мельница» в 1913 году?,,[],False,"[4, 2, 6, 34, 40]",,,[],False,False,True,True,1.745,2822,,,[],False,False,True,True,0.739,611,
q075,doc_25,test,глава филиала,Кто возглавляет западный филиал технопарка «Янтарная долина»?,Юрий Филатов,[17],True,"[16, 18, 17, 1, 10]",1.0,Юрий Филатов,[17],True,True,True,True,1.459,1781,,Юрий Филатов,[17],True,True,True,True,0.83,587,
q076,doc_14,train,сотрудники в году,Сколько человек числилось в штате завода «Северное сияние» в 2017 году?,130,[27],True,"[27, 29, 26, 30, 6]",1.0,130,[27],True,True,True,True,1.62,2284,,130,[27],True,True,True,True,0.793,627,
q077,doc_03,train,бюджет в году,Каким был годовой бюджет киностудии «Хрустальный родник» в 2011 году?,378 млн рублей,[25],True,"[25, 26, 27, 39, 2]",1.0,378 млн рублей,[25],True,True,True,True,1.78,2571,,378 млн рублей,[25],True,True,True,True,0.866,639,
q078,doc_29,test,посетители в году,Какой была посещаемость мероприятий клиники «Дальний берег» в 2016 году?,6100,[32],True,"[32, 2, 36, 23, 21]",1.0,6100,[32],True,True,True,True,1.558,2063,,6100,[32],True,True,True,True,0.823,658,
q079,doc_08,train,посетители в году,Какой была посещаемость мероприятий лаборатории «Морской узел» в 2017 году?,10600,[42],True,"[42, 43, 8, 13, 40]",1.0,10600,[42],True,True,True,True,1.868,2892,,10600,[42],True,True,True,True,0.766,631,
q080,doc_15,test,сотрудники в году,Сколько сотрудников работало в фабрике «Белый парус» в 2019 году?,1199,[11],True,"[11, 10, 6, 21, 19]",1.0,1199,[11],True,True,True,True,1.207,1548,,1199,[11],True,True,True,True,0.744,660,
q081,doc_13,train,сотрудники в отсутствующем году,Какой была численность персонала музея «Белая цапля» в 2024 году?,,[],False,"[15, 21, 7, 25, 33]",,,[],False,False,True,True,1.498,2472,,,[],False,False,True,True,0.6,643,
q082,doc_27,train,год открытия филиала,В каком году открылся горный филиал издательства «Синяя гора»?,1994,[17],True,"[17, 20, 19, 26, 22]",1.0,1994,[17],True,True,True,True,1.245,1719,,1994,[17],True,True,True,True,0.714,615,
q083,doc_18,train,несуществующий филиал,В каком году открылся филиал библиотеки «Новая заря» в Малиноозерске?,,[],False,"[16, 20, 22, 2, 11]",,,[],False,False,True,True,1.083,1714,,,[],False,False,True,True,0.579,616,
q084,doc_07,train,бюджет в году,Сколько денег было потрачено на конструкторское бюро «Лесная сказка» в 2021 году?,166 млн рублей,[20],True,"[20, 18, 2, 13, 21]",1.0,166 млн рублей,[20],True,True,True,True,1.618,2349,,166 млн рублей,[20],True,True,True,True,0.82,655,
q085,doc_10,train,руководитель до известной хронологии,Кто был директором института «Горный хрусталь» в 1909 году?,,[],False,"[7, 28, 11, 15, 25]",,,[],False,False,True,True,1.205,1794,,,[],False,False,True,True,0.669,673,
q086,doc_28,train,год премии,В каком году клиника «Липовый парк» получила премию «Гранитная ступень»?,1985,[28],True,"[28, 10, 30, 1, 8]",1.0,1985,[28],True,True,True,True,1.452,1971,,1985,[28],True,True,True,True,0.712,607,
q087,doc_27,train,руководитель до известной хронологии,Кто руководил издательством «Синяя гора» в 1960 году?,,[],False,"[21, 17, 7, 26, 22]",,,[],False,False,True,True,1.098,1719,,,[],False,False,True,True,0.559,603,
q088,doc_18,train,сотрудники в году,Какой была численность персонала библиотеки «Новая заря» в 2007 году?,1836,[11],True,"[24, 11, 13, 7, 16]",1.0,1836,[11],True,True,True,True,1.252,1714,,1836,[11],True,True,True,True,0.724,623,
q089,doc_22,test,отсутствующее событие,В каком году здание библиотеки «Золотой колос» закрывали на капитальный ремонт?,,[],False,"[8, 17, 24, 22, 18]",,,[],False,False,True,True,1.204,1863,,,[],False,False,True,True,0.612,632,
q090,doc_22,train,год основания,В каком году была основана библиотека «Золотой колос»?,1906,[2],True,"[2, 4, 23, 22, 18]",1.0,1906,[2],True,True,True,True,1.284,1856,,1906,[2],True,True,True,True,0.726,624,
q091,doc_04,test,год премии,В каком году институт «Полярная звезда» получил премию «Стальной маятник»?,2023,[28],True,"[28, 26, 11, 6, 12]",1.0,2023,[28],True,True,True,True,1.512,2158,,2023,[28],True,True,True,True,0.802,629,
q092,doc_11,train,руководитель до известной хронологии,Кто был директором киностудии «Северный маяк» в 1934 году?,,[],False,"[6, 19, 21, 29, 30]",,,[],False,False,True,True,1.227,1833,,,[],False,False,True,True,0.673,584,
q093,doc_05,train,год открытия филиала,В каком году открылся горный филиал колледжа «Серебряный ручей»?,1978,[19],True,"[19, 21, 13, 17, 9]",1.0,1978,[19],True,True,True,True,1.291,1618,,1978,[19],True,True,True,True,0.773,586,
q094,doc_29,test,партнер,Кто стал партнером клиники «Дальний берег» в 2004 году?,с фондом «Открытый горизонт»,[31],True,"[31, 23, 2, 21, 36]",1.0,,[],False,False,False,False,1.394,2057,,фонд «Открытый горизонт»,[31],True,True,True,True,0.997,663,
q095,doc_29,test,отсутствующее событие,В каком году здание клиники «Дальний берег» закрывали на капитальный ремонт?,,[],False,"[23, 11, 2, 16, 21]",,,[],False,False,True,True,1.375,2059,,,[],False,False,True,True,0.656,660,
q096,doc_23,train,руководитель в году,Кто руководил обсерваторией «Звездный путь» в 2024 году?,Андрей Уваров,[13],True,"[29, 18, 32, 3, 40]",0.0,,[],False,False,False,False,1.725,2895,,,[],False,False,False,False,0.641,691,
q097,doc_26,train,руководитель в год события,При каком директоре колледж «Старая мельница» закрыли на ремонт?,Олег Воронин,"[4, 8]",True,"[8, 4, 6, 42, 10]",1.0,,[],False,False,False,False,1.682,2820,,,[],False,False,False,False,0.62,683,
q098,doc_04,test,руководитель в год события,Кто руководил институтом «Полярная звезда» в год переезда в новое здание?,Николай Хромов,"[7, 11]",True,"[5, 23, 14, 15, 17]",0.0,,[],False,False,False,False,1.342,2159,,,[],False,False,False,False,0.561,605,
q099,doc_08,train,посетители в году,Какой была посещаемость мероприятий лаборатории «Морской узел» в 2022 году?,24300,[43],True,"[43, 42, 37, 8, 13]",1.0,24300,"[42, 43]",True,True,True,True,1.966,2892,,24300,[43],True,True,True,True,0.792,659,
q100,doc_20,train,год премии,В каком году конструкторское бюро «Зеленый луч» получило премию «Хрустальный компас»?,1940,[42],True,"[42, 36, 32, 40, 21]",1.0,1940,[42],True,True,True,True,1.817,2834,,1940,[42],True,True,True,True,0.758,612,
