id,system,status,attempts,errors_attempt_1,errors_attempt_2,drug,indication,positive_effect,adverse_reaction,evidence,evidence_not_in_text,items_without_evidence,items_not_in_text,prompt_tokens,completion_tokens,seconds,gold_drug,gold_indication,gold_positive_effect,gold_adverse_reaction,text
2903297,version_1,invalid,1,"фрагмента evidence ""неприменение в медицинской практике развитых стран"" нет в тексте отзыва дословно",,арбидол | виферон | амиксин | ананферон | индукторы интерферона | амиксин | лавомакс | реленза | тамифлю,,,болело сердце | диарея,неприменение в медицинской практике развитых стран | бесполезны | очень токсичны,1,11,1,401,123,12.51,анафероном детским | арбидол | виферон | амиксин | анаферон | интерферона | лавомакс | Реленза | Тамифлю,профилактики,,болеть сильно сердце | диарея,"Если бы я не познакомилась с этим ""лекарством"" и всеми вытекающими последствиями, возможно и не узнала бы всю правду о нашей коррумпированной медицине.
Конкретно о лекарстве: после первой таблетки стало болеть сильно сердце( мне 27 лет), у мужа была диарея спустя четыре часа.
И мы оба абсолютно здоровы, решили просто для профилактики пить, к тому же у нас маленький ребенок, которого пичкали анафероном детским.
В общем, страдаем сами от незнания.
Так вот, самые популярные лекарства, разрешенные на территории России, не применяются в медицинской практике развитых стран.
(арбидол, виферон, амиксин, анаферон, и прочее г...) потому как бесполезны, а некоторые очень токсичны(индукторы интерферона Амиксин и лавомакс).
В мире существует два способа борьбы с гриппом А и В- вакцина, конечно же, и лекарства Реленза и Тамифлю.
А Россия продолжает пить арбидол..."
2903297,final,valid,1,,,арбидол | виферон | амиксин | ананферон | индукторы интерферона Амиксин | лавомакс,грипп,,,не применяются в медицинской практике развитых стран | страдаем сами от незнания,0,7,1,1445,93,5.88,анафероном детским | арбидол | виферон | амиксин | анаферон | интерферона | лавомакс | Реленза | Тамифлю,профилактики,,болеть сильно сердце | диарея,"Если бы я не познакомилась с этим ""лекарством"" и всеми вытекающими последствиями, возможно и не узнала бы всю правду о нашей коррумпированной медицине.
Конкретно о лекарстве: после первой таблетки стало болеть сильно сердце( мне 27 лет), у мужа была диарея спустя четыре часа.
И мы оба абсолютно здоровы, решили просто для профилактики пить, к тому же у нас маленький ребенок, которого пичкали анафероном детским.
В общем, страдаем сами от незнания.
Так вот, самые популярные лекарства, разрешенные на территории России, не применяются в медицинской практике развитых стран.
(арбидол, виферон, амиксин, анаферон, и прочее г...) потому как бесполезны, а некоторые очень токсичны(индукторы интерферона Амиксин и лавомакс).
В мире существует два способа борьбы с гриппом А и В- вакцина, конечно же, и лекарства Реленза и Тамифлю.
А Россия продолжает пить арбидол..."
826379,version_1,valid,1,,,Тонзилгон,красное горло | температура,горло стало проходить,"лицо сына покрылось сыпью, а позже коркой","Начали давать. горло стало проходить, но через два дня лицо сына покрылось сыпью, а позже коркой. Видимо какая то трава вызвала аллергию.",0,2,0,360,125,12.22,Тонзилгон,красное горло | температура | аллергию,горло стало проходить,"лицо сына покрылось сыпью, а позже коркой | аллергию | алергию","Когда моему сыну было 1.5 месяца мы первый раз заболели.
Было красное горло, и температура.
Врач выписала от горла Тонзилгон.
Честно не понимаю, зачем таким маленьким детишкам выписывают капли на основе спирта.
Но мы решили попробовать.
Начали давать.
горло стало проходить, но через два дня лицо сына покрылось сыпью, а позже коркой.
Видимо какая то трава вызвала аллергию.
Капли на основе трав.
Вообще мой ребенок не склонен к аллергии.
И сейчас нам уже 7 месяцев, аллергии ни на что нет.
Пришлось лечение сразу отменить.
Потом аллергию лечили еще неделю.
В общем лекарство хорошее, теперь пользуемся им мы с мужем., но аллергикам не советую.
Время использования: 2 дня Общее впечатление : Вызвал алергию RATING 4 NOTE"
826379,final,valid,1,,,Тонзилгон,красное горло | температура,горло стало проходить,покрылось сыпью | появилась корка,"Тонзилгон | горло стало проходить | лицо сына покрылось сыпью, а позже коркой",0,1,0,1404,97,6.23,Тонзилгон,красное горло | температура | аллергию,горло стало проходить,"лицо сына покрылось сыпью, а позже коркой | аллергию | алергию","Когда моему сыну было 1.5 месяца мы первый раз заболели.
Было красное горло, и температура.
Врач выписала от горла Тонзилгон.
Честно не понимаю, зачем таким маленьким детишкам выписывают капли на основе спирта.
Но мы решили попробовать.
Начали давать.
горло стало проходить, но через два дня лицо сына покрылось сыпью, а позже коркой.
Видимо какая то трава вызвала аллергию.
Капли на основе трав.
Вообще мой ребенок не склонен к аллергии.
И сейчас нам уже 7 месяцев, аллергии ни на что нет.
Пришлось лечение сразу отменить.
Потом аллергию лечили еще неделю.
В общем лекарство хорошее, теперь пользуемся им мы с мужем., но аллергикам не советую.
Время использования: 2 дня Общее впечатление : Вызвал алергию RATING 4 NOTE"
591673,version_1,invalid,1,"фрагмента evidence ""препарат свободно в продаже в аптеках"" нет в тексте отзыва дословно",,Кипферон,воспалительный процесс | бронхит,"помогло жене при воспалении, связанном с гинекологией","свечи ломаются при вскрытии упаковки, крошатся, 50% с упаковки пропадает",врач рекомендовал как найлучший препарат | препарат свободно в продаже в аптеках,1,5,0,407,138,13.36,Кипферон,воспалительный процесс | воспаление | бронхит,Жене помогло,,"С противовирусными свечками Кипферон знаком давно, первый раз столкнулись с ними когда у жены был воспалительный процесс, очень дорогие по стоимости, но врач рекомендовал как найлучший препарат.
Жене помогло, воспаление было связано с гинекологией.
А вот буквально несколько дней назад ребенок приболел и при осмотре врачей поставили диагноз-бронхит.
Начали пугать, что чють ли не пневмония и все остальное и прописали лечение.
В списке были также и свечи Кипферон, стоят просто сумашедше дорого, приобрести проблем нет, в аптеках препарат свободно в продаже.
Результат препарата для лечения ребенка было б выявить сложно, так как в комплексе принимали много других средств.
Поэтому в этом случае положительного эффекта я не наблюдал.
Есть и недостаток, свечи стоят очень дорого, а качество плохое, при вскрытии упаковки свечи ломаются, просто-напросто крошатся, 50% с упаковки пропадает.
Общее впечатление : Результат хороший при комплексном лечении."
591673,final,valid,1,,,Кипферон,бронхит | воспалительный процесс (гинекологический),"помогло жене, воспаление было связано с гинекологией","свечи ломаются, крошатся","воспаление было связано с гинекологией | свечи ломаются, просто-напросто крошатся, 50% с упаковки пропадает",0,2,0,1451,133,8.93,Кипферон,воспалительный процесс | воспаление | бронхит,Жене помогло,,"С противовирусными свечками Кипферон знаком давно, первый раз столкнулись с ними когда у жены был воспалительный процесс, очень дорогие по стоимости, но врач рекомендовал как найлучший препарат.
Жене помогло, воспаление было связано с гинекологией.
А вот буквально несколько дней назад ребенок приболел и при осмотре врачей поставили диагноз-бронхит.
Начали пугать, что чють ли не пневмония и все остальное и прописали лечение.
В списке были также и свечи Кипферон, стоят просто сумашедше дорого, приобрести проблем нет, в аптеках препарат свободно в продаже.
Результат препарата для лечения ребенка было б выявить сложно, так как в комплексе принимали много других средств.
Поэтому в этом случае положительного эффекта я не наблюдал.
Есть и недостаток, свечи стоят очень дорого, а качество плохое, при вскрытии упаковки свечи ломаются, просто-напросто крошатся, 50% с упаковки пропадает.
Общее впечатление : Результат хороший при комплексном лечении."
824400,version_1,valid,1,,,таблетки для рассасывания от боли в горле,боли в горле,снижение боли | быстрое растворение,,"На вкус мятные конфетки, коих много продается в отделах с жевачкой, растворяются достаточно быстро. | в составе антибиотики и анестетик, благодаря которому боль действительно спадает.",0,3,0,312,121,12.08,,боли в горле | боли | боль,боль действительно спадает,,"В упаковке яркой красочной рассцветки две пачки по 9 таблеток для рассасывания от боли в горле и нструкция.
На вкус мятные конфетки, коих много продается в отделах с жевачкой, растворяются достаточно быстро.
Как лекарству от боли в горле не хватает немного обволакивающего свойства, как только конфетка растворяется, лечебное действие практически сразу проходит, однако как средство для снятия несильной боли, могу смело рекомендовать, в составе антибиотики и анестетик, благодаря которому боль действительно спадает.
Для более сильных случаев заболеваний все таки рекомендую поискать средство посерьезнее.
Общее впечатление : при сильной боли не будет эффективно RATING 4 NOTE"
824400,final,valid,1,,,от боли в горле,боли в горле,боль действительно спадает,,лечебное действие практически сразу проходит,0,3,0,1356,54,4.12,,боли в горле | боли | боль,боль действительно спадает,,"В упаковке яркой красочной рассцветки две пачки по 9 таблеток для рассасывания от боли в горле и нструкция.
На вкус мятные конфетки, коих много продается в отделах с жевачкой, растворяются достаточно быстро.
Как лекарству от боли в горле не хватает немного обволакивающего свойства, как только конфетка растворяется, лечебное действие практически сразу проходит, однако как средство для снятия несильной боли, могу смело рекомендовать, в составе антибиотики и анестетик, благодаря которому боль действительно спадает.
Для более сильных случаев заболеваний все таки рекомендую поискать средство посерьезнее.
Общее впечатление : при сильной боли не будет эффективно RATING 4 NOTE"
1326637,version_1,valid,1,,,таблетки,,,кошмары | страх | борьба с проваливанием | паника | мурашки по всему телу | дикое сердцебиение | заторможенность,"Чувство что ты проваливаешся куда то от этого становится страшно начинаешь бороться с этим часика два. | Потом устав от этого начинается чувство какой то паники, мурашки по всему телу и дикое сердцебиение от чего еще страшней становится | и так до самого почти утра, утром отпускает часиков в пять, и в шесть встаешь ровно поспав один час, снотворное просто супер никогда такого еще не испытывала от таблеток, и потом целый день ходиш как в тумане заторможенный.",0,1,0,348,248,13.33,,спать,,кошмары | страшно | чувство какой то паники | мурашки по всему телу | сердцебиение | страшней | ходиш как в тумане | заторможенный,"Перепробовав много всевозможных снотворных, оставался только этот препарат неиспробованный.
Впечатлений много и все за ночь, происходили после приема да хочется спать, как написано в инструкции через 30 -40 минут, потом начинаются кошмары.
Чувство что ты проваливаешся куда то от этого становится страшно начинаешь бороться с этим часика два.
Потом устав от этого начинается чувство какой то паники, мурашки по всему телу и дикое сердцебиение от чего еще страшней становится, и так до самого почти утра, утром отпускает часиков в пять, и в шесть встаешь ровно поспав один час, снотворное просто супер никогда такого еще не испытывала от таблеток, и потом целый день ходиш как в тумане заторможенный.
Общее впечатление : ужасный препарат"
1326637,final,rejected,2,"фрагмента evidence ""хотется спать"" нет в тексте отзыва дословно","фрагмента evidence ""хотя бы через 30 -40 минут, потом начинаются кошмары."" нет в тексте отзыва дословно",,,,,,0,0,0,3048,425,22.22,,спать,,кошмары | страшно | чувство какой то паники | мурашки по всему телу | сердцебиение | страшней | ходиш как в тумане | заторможенный,"Перепробовав много всевозможных снотворных, оставался только этот препарат неиспробованный.
Впечатлений много и все за ночь, происходили после приема да хочется спать, как написано в инструкции через 30 -40 минут, потом начинаются кошмары.
Чувство что ты проваливаешся куда то от этого становится страшно начинаешь бороться с этим часика два.
Потом устав от этого начинается чувство какой то паники, мурашки по всему телу и дикое сердцебиение от чего еще страшней становится, и так до самого почти утра, утром отпускает часиков в пять, и в шесть встаешь ровно поспав один час, снотворное просто супер никогда такого еще не испытывала от таблеток, и потом целый день ходиш как в тумане заторможенный.
Общее впечатление : ужасный препарат"
2403676,version_1,valid,1,,,Тенотен детский,повышенная тревожность у детей,,,никак помочь не могут | Никуда моя тревожность не исчезла | И вообще ничего не произошло,0,2,0,410,78,4.19,Тенотен детский | валерьянка,повышенной тревожности | успокоения | тревожность,,,"Купила я ""Тенотен детский"" в аптеке, так как повелась на рекламу (как и все люди).
Прочла инструкцию (я всегда читаю) и пожалела, что не сделала этого еще в аптеке, ибо тогда я не купила бы это не самое дешевое гомеопатическое средство... ""Сверхмалые дозы антител к белку S100"" в домашней терапии повышенной тревожности у детей никак помочь не могут, пить их надо, очевидно, для успокоения родителей... Ни формулы вещества, ни четкого описания фармокинетики процесса... НИЧЕГО.
Ставить эксперимент над ребенком я не стала, выпила сама (сразу половину упаковки, ведь доза то детская).
И никуда моя тревожность не исчезла.
И вообще ничего не произошло.
Стоит ли тратить свои деньги на смесь сопутствующих веществ?
Решать вам, я больше покупать не стану.
Так как в моем случае даже валерьянка оказалась куда действеннее... Время использования: 1 упаковка"
2403676,final,valid,1,,,Тенотен детский,повышенная тревожность у детей,,,никак помочь не могут | ничего не произошло,0,2,0,1454,60,4.55,Тенотен детский | валерьянка,повышенной тревожности | успокоения | тревожность,,,"Купила я ""Тенотен детский"" в аптеке, так как повелась на рекламу (как и все люди).
Прочла инструкцию (я всегда читаю) и пожалела, что не сделала этого еще в аптеке, ибо тогда я не купила бы это не самое дешевое гомеопатическое средство... ""Сверхмалые дозы антител к белку S100"" в домашней терапии повышенной тревожности у детей никак помочь не могут, пить их надо, очевидно, для успокоения родителей... Ни формулы вещества, ни четкого описания фармокинетики процесса... НИЧЕГО.
Ставить эксперимент над ребенком я не стала, выпила сама (сразу половину упаковки, ведь доза то детская).
И никуда моя тревожность не исчезла.
И вообще ничего не произошло.
Стоит ли тратить свои деньги на смесь сопутствующих веществ?
Решать вам, я больше покупать не стану.
Так как в моем случае даже валерьянка оказалась куда действеннее... Время использования: 1 упаковка"
5801040,version_1,valid,1,,,виферон,"начинает заболевать, обычно у меня начинает чесаться нос, я часто чихаю и першит в горле","все проходило | легко и действенно, помогает всегда",,"А виферон можно использовать и беременным, и младенцам с первого дня жизни. | Дозировка для взрослого 500 тыс. МЕ 2 раза в день. | Кроме них я никакого лечения не начинала и как правило уже на третий день у меня все проходило. | А сейчас и своему маленькому сынульке, если начинает болеть тоже их ставлю, легко и действенно, помогает всегда.",0,1,0,446,192,10.01,виферон,чихаю | першит в горле,на третий день у меня все проходило | помогает всегда,,"Конечно многие спросят, а почему...
А вы сами вспомните, чем можно лечиться в такой период - сплошные народные средства, а что касается лекарств, какую инструкцию в руки не возьмешь - беременным противопоказан.
А виферон можно использовать и беременным, и младенцам с первого дня жизни.
Поэтому у меня всегда лежала пачка этих свечек в холодильнике.
Важно, чтобы они были под рукой, потому как чем раньше вы их поставите, тем большая вероятность, что вы не разболеетесь.
Я делала это по следующей схеме.
Как только я чувствовала, что начинаю заболевать, обычно у меня начинает чесаться нос, я часто чихаю и першит в горле, то сразу же я ставила эти свечи.
Дозировка для взрослого 500 тыс.
МЕ 2 раза в день.
Кроме них я никакого лечения не начинала и как правило уже на третий день у меня все проходило.
Ограничений по частоте применения нет, противопоказаний для меня тоже, побочных реакций никогда не возникало.
Так что вот так всю беременность я ими и пропользовалась.
А сейчас и своему маленькому сынульке, если начинает болеть тоже их ставлю, легко и действенно, помогает всегда."
5801040,final,valid,1,,,Виферон,"начало заболевания (чесоть носа, частое чихание, першит в горле)",все проходило на третий день | легко и действенно | помогает всегда,,"виферон можно использовать и беременным, и младенцам с первого дня жизни | Дозировка для взрослого 500 тыс.
МЕ 2 раза в день | побочных реакций никогда не возникало",0,4,0,1490,139,8.47,виферон,чихаю | першит в горле,на третий день у меня все проходило | помогает всегда,,"Конечно многие спросят, а почему...
А вы сами вспомните, чем можно лечиться в такой период - сплошные народные средства, а что касается лекарств, какую инструкцию в руки не возьмешь - беременным противопоказан.
А виферон можно использовать и беременным, и младенцам с первого дня жизни.
Поэтому у меня всегда лежала пачка этих свечек в холодильнике.
Важно, чтобы они были под рукой, потому как чем раньше вы их поставите, тем большая вероятность, что вы не разболеетесь.
Я делала это по следующей схеме.
Как только я чувствовала, что начинаю заболевать, обычно у меня начинает чесаться нос, я часто чихаю и першит в горле, то сразу же я ставила эти свечи.
Дозировка для взрослого 500 тыс.
МЕ 2 раза в день.
Кроме них я никакого лечения не начинала и как правило уже на третий день у меня все проходило.
Ограничений по частоте применения нет, противопоказаний для меня тоже, побочных реакций никогда не возникало.
Так что вот так всю беременность я ими и пропользовалась.
А сейчас и своему маленькому сынульке, если начинает болеть тоже их ставлю, легко и действенно, помогает всегда."
