id,system,status,attempts,errors_attempt_1,errors_attempt_2,json_ok,schema_ok,all_ok,prompt_tokens,completion_tokens,seconds,evidence_not_in_text,items_without_evidence,items_not_in_text,n_items,drug_tp,drug_fp,drug_fn,drug_fp_items,drug_fn_items,indication_tp,indication_fp,indication_fn,indication_fp_items,indication_fn_items,positive_effect_tp,positive_effect_fp,positive_effect_fn,positive_effect_fp_items,positive_effect_fn_items,adverse_reaction_tp,adverse_reaction_fp,adverse_reaction_fn,adverse_reaction_fp_items,adverse_reaction_fn_items,drug,indication,positive_effect,adverse_reaction,evidence,gold_drug,gold_indication,gold_positive_effect,gold_adverse_reaction,text
211588,final,valid,1,,,True,True,True,1309,173,9.31,0,0,0,5,1,0,0,,,0,0,0,,,0,0,0,,,3,1,1,сбивается менструальный цикл,нет месячных,римантадин,,,тошнота | затуманенность сознания | болит живот | сбивается менструальный цикл,"Принимала римантадин курсом по инструкции, после каждого приема чувствовала сильный приступ тошноты и затуманенность сознания, несколько раз думала в обморок упаду | Часа через 2 после приема таблеток начинает болеть живот | Менструальный цикл после приема римантадина сбивается (нет месячных)",римантадин | римантадина,,,тошноты | затуманенность сознания | болеть живот | нет месячных,"Принимала римантадин курсом по инструкции, после каждого приема чувствовала сильный приступ тошноты и затуманенность сознания, несколько раз думала в обморок упаду.
Часа через 2 после приема таблеток начинает болеть живот.
Менструальный цикл после приема римантадина сбивается (нет месячных).
Я девушка крепкая и подобных проблем никогда не испытывала с другими препаратами.
Так что будьте аккуратны.
У мужа побочных реакций на него нет.
Общее впечатление : побочных эффектов масса"
2710914,version_1,valid,1,,,True,True,True,208,165,13.69,0,1,0,4,0,1,0,противовирусное лекарство,,0,1,0,грудное вскармливание,,0,0,0,,,0,2,0,вкус и запах очень противны | очень сильно пахнет спиртом,,противовирусное лекарство,грудное вскармливание,,вкус и запах очень противны | очень сильно пахнет спиртом,"Назначали ни раз ребенку это противовирусное лекарство. | Пила их и сама, так как при грудном вскармливании мало подходящих лекарств. | Эффекта если честно не вижу. | Очень сильно пахнет спиртом. | А стоит не дешево. Около 275 руб 20 мл. флакон.",,,,,"Назначали ни раз ребенку это противовирусное лекарство.
Пила их и сама, так как при грудном вскармливании мало подходящих лекарств.
Эффекта если честно не вижу.
Да и вкус и запах очень противны.
Очень сильно пахнет спиртом.
А стоит не дешево.
Около 275 руб 20 мл.
флакон."
2710914,version_2_no_retry,valid,1,,,True,True,True,1252,60,3.75,0,2,0,2,0,1,0,противовирусное лекарство,,0,1,0,грудное вскармливание,,0,0,0,,,0,0,0,,,противовирусное лекарство,грудное вскармливание,,,Эффекта если честно не вижу,,,,,"Назначали ни раз ребенку это противовирусное лекарство.
Пила их и сама, так как при грудном вскармливании мало подходящих лекарств.
Эффекта если честно не вижу.
Да и вкус и запах очень противны.
Очень сильно пахнет спиртом.
А стоит не дешево.
Около 275 руб 20 мл.
флакон."
2710914,final,valid,1,,,True,True,True,1252,60,3.75,0,2,0,2,0,1,0,противовирусное лекарство,,0,1,0,грудное вскармливание,,0,0,0,,,0,0,0,,,противовирусное лекарство,грудное вскармливание,,,Эффекта если честно не вижу,,,,,"Назначали ни раз ребенку это противовирусное лекарство.
Пила их и сама, так как при грудном вскармливании мало подходящих лекарств.
Эффекта если честно не вижу.
Да и вкус и запах очень противны.
Очень сильно пахнет спиртом.
А стоит не дешево.
Около 275 руб 20 мл.
флакон."
2903297,version_1,invalid,1,"фрагмента evidence ""неприменение в медицинской практике развитых стран"" нет в тексте отзыва дословно",,True,True,False,401,123,12.51,1,11,1,11,7,1,1,ананферон,анафероном детским,0,0,1,,профилактики,0,0,0,,,2,0,0,,,арбидол | виферон | амиксин | ананферон | индукторы интерферона | амиксин | лавомакс | реленза | тамифлю,,,болело сердце | диарея,неприменение в медицинской практике развитых стран | бесполезны | очень токсичны,анафероном детским | арбидол | виферон | амиксин | анаферон | интерферона | лавомакс | Реленза | Тамифлю,профилактики,,болеть сильно сердце | диарея,"Если бы я не познакомилась с этим ""лекарством"" и всеми вытекающими последствиями, возможно и не узнала бы всю правду о нашей коррумпированной медицине.
Конкретно о лекарстве: после первой таблетки стало болеть сильно сердце( мне 27 лет), у мужа была диарея спустя четыре часа.
И мы оба абсолютно здоровы, решили просто для профилактики пить, к тому же у нас маленький ребенок, которого пичкали анафероном детским.
В общем, страдаем сами от незнания.
Так вот, самые популярные лекарства, разрешенные на территории России, не применяются в медицинской практике развитых стран.
(арбидол, виферон, амиксин, анаферон, и прочее г...) потому как бесполезны, а некоторые очень токсичны(индукторы интерферона Амиксин и лавомакс).
В мире существует два способа борьбы с гриппом А и В- вакцина, конечно же, и лекарства Реленза и Тамифлю.
А Россия продолжает пить арбидол..."
2903297,version_2_no_retry,valid,1,,,True,True,True,1445,93,5.88,0,7,1,7,4,1,4,ананферон,анафероном детским | интерферона | Реленза | Тамифлю,0,1,1,грипп,профилактики,0,0,0,,,0,0,2,,болеть сильно сердце | диарея,арбидол | виферон | амиксин | ананферон | индукторы интерферона Амиксин | лавомакс,грипп,,,не применяются в медицинской практике развитых стран | страдаем сами от незнания,анафероном детским | арбидол | виферон | амиксин | анаферон | интерферона | лавомакс | Реленза | Тамифлю,профилактики,,болеть сильно сердце | диарея,"Если бы я не познакомилась с этим ""лекарством"" и всеми вытекающими последствиями, возможно и не узнала бы всю правду о нашей коррумпированной медицине.
Конкретно о лекарстве: после первой таблетки стало болеть сильно сердце( мне 27 лет), у мужа была диарея спустя четыре часа.
И мы оба абсолютно здоровы, решили просто для профилактики пить, к тому же у нас маленький ребенок, которого пичкали анафероном детским.
В общем, страдаем сами от незнания.
Так вот, самые популярные лекарства, разрешенные на территории России, не применяются в медицинской практике развитых стран.
(арбидол, виферон, амиксин, анаферон, и прочее г...) потому как бесполезны, а некоторые очень токсичны(индукторы интерферона Амиксин и лавомакс).
В мире существует два способа борьбы с гриппом А и В- вакцина, конечно же, и лекарства Реленза и Тамифлю.
А Россия продолжает пить арбидол..."
2903297,final,valid,1,,,True,True,True,1445,93,5.88,0,7,1,7,4,1,4,ананферон,анафероном детским | интерферона | Реленза | Тамифлю,0,1,1,грипп,профилактики,0,0,0,,,0,0,2,,болеть сильно сердце | диарея,арбидол | виферон | амиксин | ананферон | индукторы интерферона Амиксин | лавомакс,грипп,,,не применяются в медицинской практике развитых стран | страдаем сами от незнания,анафероном детским | арбидол | виферон | амиксин | анаферон | интерферона | лавомакс | Реленза | Тамифлю,профилактики,,болеть сильно сердце | диарея,"Если бы я не познакомилась с этим ""лекарством"" и всеми вытекающими последствиями, возможно и не узнала бы всю правду о нашей коррумпированной медицине.
Конкретно о лекарстве: после первой таблетки стало болеть сильно сердце( мне 27 лет), у мужа была диарея спустя четыре часа.
И мы оба абсолютно здоровы, решили просто для профилактики пить, к тому же у нас маленький ребенок, которого пичкали анафероном детским.
В общем, страдаем сами от незнания.
Так вот, самые популярные лекарства, разрешенные на территории России, не применяются в медицинской практике развитых стран.
(арбидол, виферон, амиксин, анаферон, и прочее г...) потому как бесполезны, а некоторые очень токсичны(индукторы интерферона Амиксин и лавомакс).
В мире существует два способа борьбы с гриппом А и В- вакцина, конечно же, и лекарства Реленза и Тамифлю.
А Россия продолжает пить арбидол..."
826379,version_1,valid,1,,,True,True,True,360,125,12.22,0,2,0,5,1,0,0,,,2,0,1,,аллергию,1,0,0,,,1,0,2,,аллергию | алергию,Тонзилгон,красное горло | температура,горло стало проходить,"лицо сына покрылось сыпью, а позже коркой","Начали давать. горло стало проходить, но через два дня лицо сына покрылось сыпью, а позже коркой. Видимо какая то трава вызвала аллергию.",Тонзилгон,красное горло | температура | аллергию,горло стало проходить,"лицо сына покрылось сыпью, а позже коркой | аллергию | алергию","Когда моему сыну было 1.5 месяца мы первый раз заболели.
Было красное горло, и температура.
Врач выписала от горла Тонзилгон.
Честно не понимаю, зачем таким маленьким детишкам выписывают капли на основе спирта.
Но мы решили попробовать.
Начали давать.
горло стало проходить, но через два дня лицо сына покрылось сыпью, а позже коркой.
Видимо какая то трава вызвала аллергию.
Капли на основе трав.
Вообще мой ребенок не склонен к аллергии.
И сейчас нам уже 7 месяцев, аллергии ни на что нет.
Пришлось лечение сразу отменить.
Потом аллергию лечили еще неделю.
В общем лекарство хорошее, теперь пользуемся им мы с мужем., но аллергикам не советую.
Время использования: 2 дня Общее впечатление : Вызвал алергию RATING 4 NOTE"
826379,version_2_no_retry,valid,1,,,True,True,True,1404,97,6.23,0,1,0,6,1,0,0,,,2,0,1,,аллергию,1,0,0,,,1,1,2,появилась корка,аллергию | алергию,Тонзилгон,красное горло | температура,горло стало проходить,покрылось сыпью | появилась корка,"Тонзилгон | горло стало проходить | лицо сына покрылось сыпью, а позже коркой",Тонзилгон,красное горло | температура | аллергию,горло стало проходить,"лицо сына покрылось сыпью, а позже коркой | аллергию | алергию","Когда моему сыну было 1.5 месяца мы первый раз заболели.
Было красное горло, и температура.
Врач выписала от горла Тонзилгон.
Честно не понимаю, зачем таким маленьким детишкам выписывают капли на основе спирта.
Но мы решили попробовать.
Начали давать.
горло стало проходить, но через два дня лицо сына покрылось сыпью, а позже коркой.
Видимо какая то трава вызвала аллергию.
Капли на основе трав.
Вообще мой ребенок не склонен к аллергии.
И сейчас нам уже 7 месяцев, аллергии ни на что нет.
Пришлось лечение сразу отменить.
Потом аллергию лечили еще неделю.
В общем лекарство хорошее, теперь пользуемся им мы с мужем., но аллергикам не советую.
Время использования: 2 дня Общее впечатление : Вызвал алергию RATING 4 NOTE"
826379,final,valid,1,,,True,True,True,1404,97,6.23,0,1,0,6,1,0,0,,,2,0,1,,аллергию,1,0,0,,,1,1,2,появилась корка,аллергию | алергию,Тонзилгон,красное горло | температура,горло стало проходить,покрылось сыпью | появилась корка,"Тонзилгон | горло стало проходить | лицо сына покрылось сыпью, а позже коркой",Тонзилгон,красное горло | температура | аллергию,горло стало проходить,"лицо сына покрылось сыпью, а позже коркой | аллергию | алергию","Когда моему сыну было 1.5 месяца мы первый раз заболели.
Было красное горло, и температура.
Врач выписала от горла Тонзилгон.
Честно не понимаю, зачем таким маленьким детишкам выписывают капли на основе спирта.
Но мы решили попробовать.
Начали давать.
горло стало проходить, но через два дня лицо сына покрылось сыпью, а позже коркой.
Видимо какая то трава вызвала аллергию.
Капли на основе трав.
Вообще мой ребенок не склонен к аллергии.
И сейчас нам уже 7 месяцев, аллергии ни на что нет.
Пришлось лечение сразу отменить.
Потом аллергию лечили еще неделю.
В общем лекарство хорошее, теперь пользуемся им мы с мужем., но аллергикам не советую.
Время использования: 2 дня Общее впечатление : Вызвал алергию RATING 4 NOTE"
591673,version_1,invalid,1,"фрагмента evidence ""препарат свободно в продаже в аптеках"" нет в тексте отзыва дословно",,True,True,False,407,138,13.36,1,5,0,5,1,0,0,,,2,0,0,,,1,0,0,,,0,1,0,"свечи ломаются при вскрытии упаковки, крошатся, 50% с упаковки пропадает",,Кипферон,воспалительный процесс | бронхит,"помогло жене при воспалении, связанном с гинекологией","свечи ломаются при вскрытии упаковки, крошатся, 50% с упаковки пропадает",врач рекомендовал как найлучший препарат | препарат свободно в продаже в аптеках,Кипферон,воспалительный процесс | воспаление | бронхит,Жене помогло,,"С противовирусными свечками Кипферон знаком давно, первый раз столкнулись с ними когда у жены был воспалительный процесс, очень дорогие по стоимости, но врач рекомендовал как найлучший препарат.
Жене помогло, воспаление было связано с гинекологией.
А вот буквально несколько дней назад ребенок приболел и при осмотре врачей поставили диагноз-бронхит.
Начали пугать, что чють ли не пневмония и все остальное и прописали лечение.
В списке были также и свечи Кипферон, стоят просто сумашедше дорого, приобрести проблем нет, в аптеках препарат свободно в продаже.
Результат препарата для лечения ребенка было б выявить сложно, так как в комплексе принимали много других средств.
Поэтому в этом случае положительного эффекта я не наблюдал.
Есть и недостаток, свечи стоят очень дорого, а качество плохое, при вскрытии упаковки свечи ломаются, просто-напросто крошатся, 50% с упаковки пропадает.
Общее впечатление : Результат хороший при комплексном лечении."
591673,version_2_no_retry,valid,1,,,True,True,True,1451,133,8.93,0,2,0,5,1,0,0,,,2,0,0,,,1,0,0,,,0,1,0,"свечи ломаются, крошатся",,Кипферон,бронхит | воспалительный процесс (гинекологический),"помогло жене, воспаление было связано с гинекологией","свечи ломаются, крошатся","воспаление было связано с гинекологией | свечи ломаются, просто-напросто крошатся, 50% с упаковки пропадает",Кипферон,воспалительный процесс | воспаление | бронхит,Жене помогло,,"С противовирусными свечками Кипферон знаком давно, первый раз столкнулись с ними когда у жены был воспалительный процесс, очень дорогие по стоимости, но врач рекомендовал как найлучший препарат.
Жене помогло, воспаление было связано с гинекологией.
А вот буквально несколько дней назад ребенок приболел и при осмотре врачей поставили диагноз-бронхит.
Начали пугать, что чють ли не пневмония и все остальное и прописали лечение.
В списке были также и свечи Кипферон, стоят просто сумашедше дорого, приобрести проблем нет, в аптеках препарат свободно в продаже.
Результат препарата для лечения ребенка было б выявить сложно, так как в комплексе принимали много других средств.
Поэтому в этом случае положительного эффекта я не наблюдал.
Есть и недостаток, свечи стоят очень дорого, а качество плохое, при вскрытии упаковки свечи ломаются, просто-напросто крошатся, 50% с упаковки пропадает.
Общее впечатление : Результат хороший при комплексном лечении."
591673,final,valid,1,,,True,True,True,1451,133,8.93,0,2,0,5,1,0,0,,,2,0,0,,,1,0,0,,,0,1,0,"свечи ломаются, крошатся",,Кипферон,бронхит | воспалительный процесс (гинекологический),"помогло жене, воспаление было связано с гинекологией","свечи ломаются, крошатся","воспаление было связано с гинекологией | свечи ломаются, просто-напросто крошатся, 50% с упаковки пропадает",Кипферон,воспалительный процесс | воспаление | бронхит,Жене помогло,,"С противовирусными свечками Кипферон знаком давно, первый раз столкнулись с ними когда у жены был воспалительный процесс, очень дорогие по стоимости, но врач рекомендовал как найлучший препарат.
Жене помогло, воспаление было связано с гинекологией.
А вот буквально несколько дней назад ребенок приболел и при осмотре врачей поставили диагноз-бронхит.
Начали пугать, что чють ли не пневмония и все остальное и прописали лечение.
В списке были также и свечи Кипферон, стоят просто сумашедше дорого, приобрести проблем нет, в аптеках препарат свободно в продаже.
Результат препарата для лечения ребенка было б выявить сложно, так как в комплексе принимали много других средств.
Поэтому в этом случае положительного эффекта я не наблюдал.
Есть и недостаток, свечи стоят очень дорого, а качество плохое, при вскрытии упаковки свечи ломаются, просто-напросто крошатся, 50% с упаковки пропадает.
Общее впечатление : Результат хороший при комплексном лечении."
