id,text,drug,indication,adverse_reaction
2403676,"Купила я ""Тенотен детский"" в аптеке, так как повелась на рекламу (как и все люди).
Прочла инструкцию (я всегда читаю) и пожалела, что не сделала этого еще в аптеке, ибо тогда я не купила бы это не самое дешевое гомеопатическое средство... ""Сверхмалые дозы антител к белку S100"" в домашней терапии повышенной тревожности у детей никак помочь не могут, пить их надо, очевидно, для успокоения родителей... Ни формулы вещества, ни четкого описания фармокинетики процесса... НИЧЕГО.
Ставить эксперимент над ребенком я не стала, выпила сама (сразу половину упаковки, ведь доза то детская).
И никуда моя тревожность не исчезла.
И вообще ничего не произошло.
Стоит ли тратить свои деньги на смесь сопутствующих веществ?
Решать вам, я больше покупать не стану.
Так как в моем случае даже валерьянка оказалась куда действеннее... Время использования: 1 упаковка",Тенотен детский | валерьянка,повышенной тревожности | успокоения | тревожность,
5801040,"Конечно многие спросят, а почему...
А вы сами вспомните, чем можно лечиться в такой период - сплошные народные средства, а что касается лекарств, какую инструкцию в руки не возьмешь - беременным противопоказан.
А виферон можно использовать и беременным, и младенцам с первого дня жизни.
Поэтому у меня всегда лежала пачка этих свечек в холодильнике.
Важно, чтобы они были под рукой, потому как чем раньше вы их поставите, тем большая вероятность, что вы не разболеетесь.
Я делала это по следующей схеме.
Как только я чувствовала, что начинаю заболевать, обычно у меня начинает чесаться нос, я часто чихаю и першит в горле, то сразу же я ставила эти свечи.
Дозировка для взрослого 500 тыс.
МЕ 2 раза в день.
Кроме них я никакого лечения не начинала и как правило уже на третий день у меня все проходило.
Ограничений по частоте применения нет, противопоказаний для меня тоже, побочных реакций никогда не возникало.
Так что вот так всю беременность я ими и пропользовалась.
А сейчас и своему маленькому сынульке, если начинает болеть тоже их ставлю, легко и действенно, помогает всегда.",виферон,чихаю | першит в горле,
6993980,"Добрый день уважаемые читатели сайта отзовик!
Сегодня хотелось бы рассказать о таблетках, которые при болезни приходится принимать.
Так вот недавно приболела и стоял вопрос какие купить противовирусные таблетки.
Покупала не только эти, пробовала различные.
Но почему- то в аптеке посоветовали их и сама сравнив цену тех, которых и пачки не хватит и неудобно пить несколько раз в день, я решили купить их.
И не пожалела!
По цене относительно не дорого.
Пропивать их удобно- один раз в день, причем сразу 4 таблетки и огромный плюс, что на пачке расписано пропивать данное лекарство.
Итак, выглядит лекарство вот так: А наобратной стороне как раз расписано прием: Как вы видете все по дням практически и не нужна инструкция.
Также все расписано по тому, как выглядят таблетки.
Вот так они выглядят на вид.
Кстати пачки хватает на полный курс лечения!
Помогают хорошо!
Рекомендовать буду!",,,
2410110,"Так случилась, во время беременности простудилась.
Нос заложило, кашель, поднялась высокая температура.
Не секрет, что вынашивания малыша пить какие либо препараты от простуды запрещено особенно на ранних сроках.
У меня уже был третий триместр.
Что бы не навредить своей ляльки лечилась народными средствами.
Но и они оказались мало эффективными.
Нос не дышал, дышать было трудно воздуха катастрофически не хватало.
Отправила супруга в аптеку.
Фармацевт посоветовала спрей Гриппферон, уверяла что очень эффективное средство способствует профилактике и лечению гриппа и ОРВИ.
Стоит он не дешево 380 руб.
Препарат обладает иммуномодулирующим, противосполительным и противовирусным действием.
К сожалению в аптеке не подсказали, что использовать его нужно на ранних стадиях.
Распыляла его в нос течении четырех дней, результата на меня не какого не оказал, слизистая еще больше раздражалось.
Поэтому прежде чем, что то купить в аптеке проконсультируйтесь у своего врача.
Время использования: 2015",Гриппферон,простудилась | Нос заложило | кашель | высокая температура | простуды | Нос не дышал | дышать было трудно | профилактике | гриппа | ОРВИ,слизистая еще больше раздражалось
2424525,"По назначению невролога из-за жалоб на отсутствие речи у ребенка (нам 3 года) начали принимать Когитум.
Пить нужно было по пол ампулы 2 раза в день, строго до 2-х часов дня, врач предупредил что на фоне приема может быть эмоциональное возбуждение, поэтому пить только в первой половине дня.
В первые дни приема не замечала никаких изменений, результатов.
Примерно с середины упаковки началось... Ребенок весь день ""стоит на ушах"", угомонить невозможно, про сон днем забыли (хотя всегда укладывала спать днем, засыпал без проблем), постоянная беготня по дому, прыжки с дивана на пол, кувырки и т. д. Весь день у ребенка проходил в ритме ракеты, а у меня в нервотрепке: ""не прыгай-шею свернешь, хватит скакать и все в этом духе"".
К вечеру вымотанный, ложился спать.
В общем пока допил всю упаковку, я думала, что помощь невролога нужна уже больше мне чем сыну.
На развитие речи результата так никакого и не было и нет (уже прошло 3 месяца после приема).",Когитум,отсутствие речи,стоит на ушах | угомонить невозможно | сон днем забыли | беготня по дому | прыжки с дивана на пол | кувырки | вымотанный
267729,"Хочу поделиться нашим печальным опытом.
После первого же применения у ребенка развился обильный ринит.
Через день воспалилось горло.
На гландах появился белый налет.
Не советую никому... Время использования: сентябрь 2012",,,ринит | воспалилось горло | На гландах появился белый налет
2439706,"Добрый вечер и приятного времяпровождения.
В силу своего возраста в моей семье часто приходится брать успокоительные капельки -боярышника, пустырника, валерианы и тому подобное.
как-то в один поход в аптеку мне предложили заменить этот ""набор"" на одно - седативное средство от Фармамед Валемидин.
Посмотрев на состав и прочитав аннатацию к лекарству, я взяла его.
Но, увы!
мама пропив его несколько дней, перешла на свои традиционные капельки, сказав, что он ей не нравится.
Возможно, это был каприз, а, возможно, и нет.
Получив его ""по наследству"" и имея свои проблемы со сном и нервами, пропив остаток, сказала бы, что он мне помог снять нервное напряжение, немного успокоится.
К тому же, теперь нашла рецепт и уже приготовила сама настойку состав, который практически повторяет состав данного лекарства, только без димедрола.",боярышника | пустырника | валерианы | Валемидин | димедрола,сном | нервами | нервное напряжение,успокоится
815444,"Этот препарат начали усердно выписывать врачи, когда я еще сама была ребенком.
До сих пор рекомендуют его как профилактическое средство и противовирусное.
Сама его пила и помню мерзкий сладковатый вкус.
Не сказала б, что как-то на ход болезни влияло, просто раньше не было доступной информации о лекарствах, а такие противовирусные новинки давали надежду родителям, что ребенок за 2 дня встанет на ноги.
Родив первого решила изучать каждую пилюльку, прописанную врачом.
Ведь сейчас найти информацию и исследования препаратов не проблема, спасибо мед.
форумам.
Оказалось, что анаферон - пустышка.
Ни противовирусного, ни какого-то другого действия не имеет.
Ни в одной развитой стране не применяется.
Но может иметь побочки.
Детям я это не даю.
Стоит недешево, а эффекта - ноль.
Длится у нас ОРВИ столько же времени, сколько и у тех, кто пьет анаферон.
Общее впечатление : Неэффективен RATING 1 NOTE",анаферон,профилактическое | ОРВИ,
6275749,"В начале января переболели пневмонией (прикорневой) ребенку 2года 8 мес, кололи цевтриаксон 5 дней в больнице, хотя нужно было 7!
Т к прокололи мало через неделю после выписки темп поднялась до 37,0 -37,4 так держалась еще месяц, ездили по врачам которые прописывали противовирусные и утверждали что это остаточный след, в итоге пропили антибиотик флемрксин салютаб, темп после приема держалась еще какое то время, потом купила ликопид 1 мг, продавала 10 дней и все прошло, больше пока не болеем.",цевтриаксон | флемрксин | салютаб | ликопид,"пневмонией | темп поднялась до 37,0 -37,4",
817386,"У всех нас, наверное, бывают в жизни ситуации, когда мы можем сильно понервничать.
Я не говорю сейчас о каких-то страшных вещах.
Сдача экзамена, поиск работы, недосып, в конце концов, тоже могут вызвать стресс.
И многие из нас в такие моменты могут начать искать способ помочь себе.
Один из вариантов облегчения острого стрессового состояния- это прием специальных растительных препаратов.
Да-да, лучше именно на травках, потому как химические вещества могут вызвать зависимость.
Но сейчас не о том.
А конкретно о таблетках с экстрактом валерианы.
Этот препарат полностью изготовлен из натурального сырья, что, конечно же, является огромным плюсом.
Но этот самый плюс практически единственный.
Потому как препарат не эффективен.
Я это проверяла на себе несколько раз.
Поэтому, дорогие читатели, если уж так случилось, что вы чем-то расстроены, посмотрите кино, почитайте книгу, займитесь спортом, чтобы снять нервное напряжение.
Но только не засоряйте желудок сомнительными таблетками.
Никакой пользы они не принесут.
Общее впечатление : Не эффективны RATING 3 NOTE",валерианы,нервное напряжение,
5801796,"Начну с того, что когда моя дочь пошла в садик, ничего не предвещало беды, проходили мы успешно ровно 1 месяц и заболели.
Ну я то думаю адаптация и всякое такое, но не тут то было.
Только вылечились и пошли снова в садик проходит неделя и опять заболела и так до каждый раз.
Походит неделю-две и опять на больничный, чем только не лечили и всякими препаратами и народными средствами, но ничего, все осталось по- прежнему.
И вот я как-то пожаловалась фармацевту на такую вот беду(педиатр у нас молодая, сказала, что со временем перерастает, но сил моих больше не было)и она посоветовала пропить курс иммуномодулятора ""ликопид"".
Сначала я отнеслась к этому скептически, но решила попробовать.
Было сказано по одной таблеточке в день и дочь, после курса ликопида, стала заметно меньше болеть.
Курс мы проходили летом и к осеннему обострению были готовы и к моему удивлению дочка не заболела.
Я не говорю, что это панацея, может кому-то не подойдет, но нам помог!!
!",ликопид | ликопида,,
2673885,"Ребенок (4 года) с переходом в новый садик начал очень часто болеть.
Заболел ларинготрахеитом, спустя 10 дней болезни я начала давать ему ликопид, и сама начала его принимать в дозировке 1 мг.
У ребенка на 6-ой день поднялась температура 39!
Посоветовавшись с педиатром, я сразу отменила ребенку этот препарат, на следующий день температура 40, после осмотра врача- диагноз - гнойная ангина (( принимали антибиотик 5 дней и все прошло... Непонятно, то ли этот препарат дал такую побочку, так как ребенок сидел дома и никуда не выходил- с больными не контактрировал.
Я пропила 10 дней таблеток детской дозировки, пока не заболела )))",ликопид,ларинготрахеитом | температура 39 | температура 40 | гнойная ангина,
822853,"На третий день применения показалось, что вызвал достаточно сильную аллергическую реакцию.
Валтрекс мне понравился больше.
Возможно просто попалась подделки.
К тому же он намного дороже.
3 таблетки 1,5 тыс.
руб.!!!
Общее впечатление : Показалось, что вызвал достаточно серьезную аллергическую реакцию RATING 2 NOTE",Валтрекс,,аллергическую реакцию
884467,"Я большой противник всех ... феронов, т. к. они подавляют иммунитет.
Применять их, я считаю, нужно в крайнем случае.
Но тут звонит мне сестра, мать троих маленьких детей.
И рассказывает, что просто невозможно стало: то старший ребенок из школы простуду принесет, вся семья болеет.
То муж на работе грипп подхватит, и снова все болеют.
Среднего даже с садика сняли, невозможно просто.
И вот их педиатр посоветовала использовать мазь Виферон.
Мазать носики всех членам семьи в простудный и гриппозный период.
Уже месяц всей семьей мажутся, и пока никто из них не болел.
Я тоже задумалась об этой мази, но у нас пока необходимости нет.
Общее впечатление : Похоже, и правда помогает от вирусов RATING 3 NOTE",Виферон,простуду | грипп | простудный | гриппозный,
810713,"Моим двойняшкам уже три года.
Анаферон давала и при простудах и для профилактики.
Одна заболела-вторая нет.
Что делать?
Даю ""Анаферон"" -одной для лечения-другой для профилактики.
Но результата от него я не заметила.
Через три дня болеет и другая.
Один раз ""Анаферон"" давалала целый месяц- по одной таблетке на день.
Якобы для профилактики.
И что вы думаете?
Все равно заболели!
Поэтому я решила что пользы он него нет.
И нечего детям давать всякую гадость просто так(при первом же чихании или насморке).
И давать аптекам и фармацептам на мне зарабатовать!!!
Это лично мое мнение, провереное за три года.
А вы думайте сами, что лучьше для ваших детей.
Общее впечатление : пустышки RATING 2 NOTE",Анаферон,простудах | профилактики | чихании | насморке,
3188437,"Увидела активную рекламу препарата Полиоксидония и вспомнила о своем опыте его применения.
Опыт был коротким и негативным для меня.
Восемь лет назад меня сильно беспокоил ринит неясной этилогии и врач - иммунолог выписала мне суперэффективный гипоаллергенный препарат Полиоксидоний для закапывания в нос.
Я сразу заметила, что с препарат мне не подходит - появилась сильная отечность и заложенность носа.
Сообщила об этом врачу, на что был получен категоричный ответ, что быть такого не может.
Что ж, врачам, наверно, стоит верить, в особенности докторам наук ) Но, ситуация отечности носа усугублялась и чувствовала себя мелким гнусавым слоненком.
И о чудо, дикая реакция на полиоксидоний обнаружилась у маленького ребенка.
На что я получила комментарий врача, что вероятно производитель начал добавлять в него что-то лишнее.
Напомню, это было восемь лет назад.
Препарат уже в то время был дорогим.
Интересно, до какой степени Полиоксидоний разбодяжен сейчас.
Будьте осторожны в его применении.",Полиоксидония | Полиоксидоний,ринит | отечность | заложенность носа | отечности носа,
2702457,"Я с детства состою на учете у психиатра.
Одним из симптомов моего заболевания-с 5 лет упорная бессонница.
Не мог засыпать сутками.
Не помогали ни бензодиазепины ни сонапакс ни галоперидол ни трифтазин.
Аминазин помогал но от него сильно много побочных.
И лишь только азалептин-хорошо справляется с бессонницей но имеет побочных меньше чем аминазин.",бензодиазепины | сонапакс | галоперидол | трифтазин | Аминазин | азалептин,бессонница | Не мог засыпать сутками | бессонницей,
2703065,"Недавно заболела явно вирусным заболеванием, сопли, чихание, слезятся глаза и при этом еще сильно болит горло.
По совету нескольких знакомых, не пожалела денег и купила в аптеке этот противовирусный препарат в надежеде на быстрое выздоровлеие.
Все его хвалили Начала пить при первых симптомах болезни.
Удобно что только одну капсулу в день надо пить.
Но к моему разочарованию пропив его 5 дней помощи от него никакой не почувствовала.
Лучше уж просто пить Ринзу Сип, она хоть симптомы постуды хорошо снимает и стоит недорого.
а этот преперат для меня оказался абсолютно бесполезным",Ринзу Сип,вирусным заболеванием | сопли | чихание | слезятся глаза | болит горло | постуды,
2513399,"Всем доброго здравия!
В жизни каждого из нас бывают ситуации когда мы выходим из себя, злимся, ругаемся.
Чтобы спокойнее пережить такие минуты, существует множество успокоительных препаратов.
Одним из них для меня уже длительное время является экстракт валерианы.
Когда я работала в магазине, целый день приходилось общаться с большим колличеством людей, а люди, как известно разные.
Перед уходом на работу выпивала таблетку.
В обед вторую и перед сном третью.
Может включалось мое подсознание, может самовнушение, но валериана помогала мне справляться эмоциями.
Но всю жизнь на таблетках жить не будешь и в итоге я все же сменила работу.
Теперь принимаю валериану время от времени, по необходимости.
Она по-прежнему присутствует в моей аптечке и успокаивает не только нервы, но и желудочно-кишечный тракт.
Желаю всем доброго здоровья и чтобы вы как можно реже пользовались своей аптечкой!
Время использования: Несколько лет",валерианы | валериана | валериану,выходим из себя | злимся | ругаемся | спокойнее | эмоциями | успокаивает не только нервы,
828556,"Начала принимать Амиксин при первых симптомах:Першило горло, Слабость, небольшой озноб.
Через два часа после приема состояние значительно ухудшилось, к вечеру появились боль в области почек.
По истечении 24часов стало полегче-думала болезнь пошла на спад... АГА!
Выпила вторую таблетку, как прописано через сутки-На меня сразу напали все болезни мира-Глаза изнутри выдавливало, кашель сорвал все горло, я себя буквально по частям отрывала от дивана, что бы подняться, лицо отекло, слабость ужасная.
Я всегда хорошо переносила все заболевания, но это было нечто.
Связываю свое состояние только с действием Амиксина, потому что после его отмены мое состояние резко пошло на улучшение.
Никому не советую его принимать!
Общее впечатление : Ужасное побочное действие",Амиксин | Амиксина,Першило горло | Слабость | озноб,боль в области почек | Глаза изнутри выдавливало | кашель сорвал все горло | лицо отекло | слабость
2448225,"Афлубин я приобрела перед первым походом в сад младшей дочки, для профилактики.
Давала как и заявлено- по 1 капле в день.
Нам не помогал, болели часто.
На приеме у нашего педиатра, решила я получить консультацию по поводу этого препарата, и мне дали ясно понять, что от него толку нет и не будет, то же самое что заниматься самовнушением.
Так что возлагать большие и светлые надежды на Афлубин не стоит, лучше вообще даром не тратиться.",Афлубин,профилактики,
2818054,"После приема препарата Лавомакс, появилась страшная сыпь по всему телу в виде мелких водяных болячек, красного цвета, по виду похожая на герпес, которая пять дней не СХОДИЛА и сильно чесалась, зудела и доставляла очень неприятные ощущения, а так же по всему лицу эта сыпь в большом количестве ВЫСЫПАЛО и оставила шрамы .
И еще после приема Лавомакса появилась слабость, рези в желудке, которые в свою очередь вызвали (понос), очень сильно крутило в костях и неприятная ноющая боль в суставах, шум в ушах и потемнение в глазах, тошнота и потеря сознания, жар, поднялась температура резко до 38, пот, лихорадка и дрожь.
И так через двое суток я пришла в нормальное состояние .
А именно грип и ангина (ОРЗ) прошли после приема Лавомакса, но потом ВЫСЫПАЛО сыпь, о которой я написала выше .
Так вот, эту сыпь я лечила в течении пяти дней, но она так и не исчезла, пока я не СХОДИЛА в ПАРИЛКУ и не ПРОПАРИЛАСЬ в бане !!!
И только после этого, ровно через час, я избавилась от сыпи !
Лавомакс опасен для жизни!!",Лавомакс | Лавомакса,грип | ангина | ОРЗ,сыпь по всему телу | герпес | чесалась | зудела | сыпь | шрамы | слабость | рези в желудке | понос | крутило в костях | ноющая боль в суставах | шум в ушах | потемнение в глазах | тошнота | потеря сознания | жар | температура резко до 38 | пот | лихорадка | дрожь | сыпи
547905,"назначен препарат был ребенку в 1,5 года. но я долго думала.
решилась, когда исполнилось 2 года.
После третьего укола возникла острая аллергическая реакция - обморок!!!
после 1 мг супрастина ребенку стало лучше.
врач в реанимации на нас так орал, что этот препарат - архаизм, в развитых странах уже запрещен!!!",,,аллергическая реакция | обморок
591900,"Крем для наружного применения Фенистил Пенцивир нам посоветовала педиатр из поликлиники как средство против аллергии наружное.
Я согласна с тем, что на разных людей одинаковые средства действуют по-разному.
Мы пробовали, когда была просто аллергия на непонятный нам продукт - легче не стало.
Потом попробовали его намазать летом - покусали комарики, да еще и расчесали - не помог тоже.
Конечно, может нужно его использовать в комплексе с внутренними препаратами, но как отдельное средство он нам не помог.
Я тоже пострадала от укусов комаров летом, тоже мазалась и тоже как чесалась так и чесалась.
Мне кажется, что он не эффективен.
Общее впечатление : Несколько раз использовали RATING 2 NOTE",Фенистил Пенцивир,аллергии | аллергия,
591856,"Держалась долго температруа (для простуды было слишком много времени, температура должна была уже спасть).
Начала сдавать анализы на все (да, на ВСЕ.
Полностью.
Температура уже прошла, но анализы ходила сдавать) Нашли золотистый стафилококк.
Как мне сказали, то вещь не опасная, но лечить надо.
Температура от него могла держаться.
И выписали ИРС-19.
Врач сказал, что это ""чудо лекарство"" поможет от всего.
Денег стоил приличных.
Отличная упаковка, которая мне напоминает балончик.
Начала использовать (все точно по инструкции).
На глаз никаких изменений не наблюдала.
Пошла сдавать повторно анализы - опять стафилококк.
Еще один ""балончик"" Ирса - сдача анализов.
И что вы думаете?
Стафилококк оказался при мне.
Так что никакого эффекта от этого лекарства я не наблюдаю.
Выкинутые деньги и все.
Хотя, может это мой организм такой?
Не знаю, но пользоваться им больше не буду Общее впечатление : Для тех, у кого лишние деньги RATING 3 NOTE",ИРС-19 | Ирса,температруа | простуды | температура | золотистый стафилококк | стафилококк,
275243,"У меня сынок сейчас ему 2,2 годика.
Год назад мы переехали с ДВ в Москву летели самолетом, в 1,5 года мы отправили его в ясли, хотя он сам по себе мамин сынок, от мамы ни на шаг, очень тяжело переносили адаптацию.
Потом еще два далеких перелета за месяц в отпуск.
Это к тому что на фоне всего происходящего он стал очень плаксивый, психованный, капризный, я будучи очень обеспокоенна его состоянием пошла к детскому неврологу, она с медсестрой покумекала и они пришли к решению что нам нужно выписать Успокоительное средство ""Глицин"" принимать в течении одного месяца, принимали в течении месяца не помогло абсолютно какой был нервный, психованный, такой и остался, так же может среди ночи проснуться с итерикой и ""Глицин"" не помог справиться ни с одной проблемой.
Время использования: 1 месяц",Глицин,нервный | психованный,плаксивый | психованный | капризный
2660532,"Нам не помог, результата не заметила, ребенок как был вредный и капризный, такой и остался.
Потом врач прописал нам успокаивающий сироп зайчонок, в составе только трав и натуральные соки.
Безопасно для ребенка.
Курс приема всего 2 недели, сейчас ребенок послушный, больше стали с ним разговаривать, появилась усидчивость, больше стишков стал запоминать, и в садике стали хвалить.
Строп можно деткам с 3 лет.
Всем подругам советую, если есть проблемы в воспитании детей.",зайчонок,вредный | капризный | послушный | усидчивость,
942280,"У моего мужа работа со сменным ночным графиком Поэтому он страдает бессоницей, долго не может уснуть, часто пробуждается ночью.
приходится часто пользоваться снотворными препаратами.
Принимает обычно за 30 мин до сна.
Шипучую таблетку надо расстворить в в половине стакана воды.
Если таблетка покрыта оболочкой - принимают внутрь запивая водой.
Следует отметить что препарат обладает антиаллергическим действием.
После применения донормила у мужа исчезли такие явления как чиханье, насморк, зуд кожи.
Если утром нужно садится за руль автомобиля, следует учитывать что препарат действует 6- 8 часов.
Донормил не вызывает привыкания, хорошо переносится.
Препарат можно купить в аптеке свободно без рецепта врача.
Донормил оправдывает ожидания.
Время использования: 5 лет",донормила | Донормил,бессоницей | долго не может уснуть | часто пробуждается ночью | чиханье | насморк | зуд кожи,
2492997,"Болею я довольно часто, и приходится как-то бороться с простудой.
А так как свекровь - фармацевт, то у меня дома вседа лучшие препараты для лечения в самые болезненные периоды.
""Альтабор"" я стала использовать при простуде постоянно и вот мои наблюдения: - действует медленно, то есть, тем людям, которые ходят на работу и требуют быстрого обесболивающего эффекта, такой препарат не подойдет; - говоря об обесболивании - в этом плане препарат не работает практически никак - только постепенное лечение; - состав, безусловно, порадовал - на травах и только скрепляющие компоненты, что крайне подходит для лечения; Общее лечение длится до 5 дней - за это время боль в горле проходит полностью и воспаление тоже.
Время использования: пару лет",Альтабор,простудой | простуде | боль в горле | воспаление,
